S_No,State_Name,District_Name,Season,Irrigation,pH,Moisture,Soil_Temp,Climate
0,Punjab,AMRITSAR,Kharif     ,low,6.4,90,15,Hot-dry
1,Punjab,AMRITSAR,Kharif     ,low,6.0,90,15,Hot-dry
2,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry
3,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry
4,Punjab,AMRITSAR,Kharif     ,low,6.5,90,15,Hot-dry
5,Punjab,AMRITSAR,Kharif     ,low,6.0,90,15,Hot-dry
6,Punjab,AMRITSAR,Rabi       ,medium,6.25,80,25,Hot-dry
7,Punjab,AMRITSAR,Rabi       ,high,6.2,60,40,Hot-dry
8,Punjab,AMRITSAR,Rabi       ,high,6.4,60,40,Hot-dry
9,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry
10,Punjab,AMRITSAR,Whole Year ,medium,6.0,80,25,Hot-dry
11,Punjab,AMRITSAR,Whole Year ,medium,6.3,80,25,Hot-dry
12,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry
13,Punjab,AMRITSAR,Kharif     ,low,6.4,90,15,Hot-dry
14,Punjab,AMRITSAR,Kharif     ,medium,6.0,80,25,Hot-dry
15,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry
16,Punjab,AMRITSAR,Kharif     ,medium,6.3,80,25,Hot-dry
17,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry
18,Punjab,AMRITSAR,Kharif     ,low,6.5,90,15,Hot-dry
19,Punjab,AMRITSAR,Kharif     ,low,6.0,90,15,Hot-dry
20,Punjab,AMRITSAR,Rabi       ,medium,6.25,80,25,Hot-dry
21,Punjab,AMRITSAR,Rabi       ,high,6.2,60,40,Hot-dry
22,Punjab,AMRITSAR,Rabi       ,low,6.6,90,15,Hot-dry
23,Punjab,AMRITSAR,Rabi       ,high,6.4,60,40,Hot-dry
24,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry
