District,Climate
SANT KABEER NAGAR,Composite
BATHINDA,Hot-dry
BANSWARA,Composite
PALI,Temperate
KANPUR DEHAT,Temperate
BUDAUN,Temperate
TONK,Composite
MORADABAD,Temperate
BANDA,Temperate
KURNOOL,Hot-dry
ALWAR,Hot-dry
YAMUNANAGAR,Temperate
BULANDSHAHR,Temperate
HARDOI,Temperate
FATEHABAD,Hot-dry
DEORIA,Composite
KHERI,Temperate
JALORE,Composite
FAIZABAD,Composite
SHAHJAHANPUR,Temperate
RAMPUR,Temperate
JALANDHAR,Composite
BIJNOR,Hot-dry
JHALAWAR,Temperate
MAINPURI,Hot-dry
EAST GODAVARI,Hot-dry
CHANDAULI,Composite
HAMIRPUR,Composite
SIRSA,Hot-dry
FARIDABAD,Hot-dry
SPSR NELLORE,Warm-humid
GORAKHPUR,Temperate
GURDASPUR,Temperate
ROHTAK,Hot-dry
BAREILLY,Temperate
BAGHPAT,Composite
MEWAT,Hot-dry
HATHRAS,Warm-humid
GHAZIPUR,Temperate
REWARI,Hot-dry
BARMER,Composite
SONIPAT,Warm-humid
FATEHGARH SAHIB,Temperate
KUSHI NAGAR,Temperate
SHRAVASTI,Temperate
HANUMANGARH,Hot-dry
BARABANKI,Hot-dry
S.A.S NAGAR,Warm-humid
LALITPUR,Temperate
MAU,Warm-humid
BALRAMPUR,Warm-humid
BHILWARA,Hot-dry
DUNGARPUR,Hot-dry
GANGANAGAR,Hot-dry
LUCKNOW,Temperate
NAWANSHAHR,Warm-humid
MANSA,Temperate
SANT RAVIDAS NAGAR,Warm-humid
KARNAL,Hot-dry
AURAIYA,Hot-dry
UNNAO,Temperate
ETAH,Composite
KARAULI,Hot-dry
HISAR,Hot-dry
KAUSHAMBI,Warm-humid
PALWAL,Composite
BALLIA,Warm-humid
KANPUR NAGAR,Temperate
KANNAUJ,Temperate
PILIBHIT,Temperate
HAPUR,Warm-humid
BHIWANI,Hot-dry
SANGRUR,Hot-dry
KAITHAL,Hot-dry
MAHARAJGANJ,Warm-humid
AMROHA,Composite
SAHARANPUR,Temperate
KOTA,Hot-dry
KRISHNA,Hot-dry
AJMER,Hot-dry
SONBHADRA,Composite
JAISALMER,Hot-dry
FAZILKA,Hot-dry
KASGANJ,Warm-humid
SITAPUR,Temperate
HOSHIARPUR,Temperate
PRATAPGARH,Temperate
GHAZIABAD,Temperate
BUNDI,Hot-dry
KADAPA,Hot-dry
SHAMLI,Warm-humid
MIRZAPUR,Temperate
RAE BARELI,Composite
ETAWAH,Warm-humid
FIROZABAD,Warm-humid
GAUTAM BUDDHA NAGAR,Warm-humid
RUPNAGAR,Composite
MAHENDRAGARH,Hot-dry
BHARATPUR,Hot-dry
JALAUN,Composite
WEST GODAVARI,Hot-dry
AMBEDKAR NAGAR,Warm-humid
BARAN,Hot-dry
BIKANER,Hot-dry
SIKAR,Hot-dry
VIZIANAGARAM,Warm-humid
TARN TARAN,Hot-dry
PANCHKULA,Temperate
PRAKASAM,Hot-dry
KURUKSHETRA,Hot-dry
DAUSA,Hot-dry
JAIPUR,Hot-dry
PANIPAT,Hot-dry
MAHOBA,Warm-humid
ALLAHABAD,Temperate
PATHANKOT,Temperate
AGRA,Composite
FARIDKOT,Hot-dry
GUNTUR,Composite
FIROZEPUR,Hot-dry
LUDHIANA,Hot-dry
ALIGARH,Warm-humid
SIDDHARTH NAGAR,Composite
DHOLPUR,Composite
JHUNJHUNU,Warm-humid
JHANSI,Temperate
SIROHI,Hot-dry
VARANASI,Temperate
CHITTORGARH,Hot-dry
MUKTSAR,Hot-dry
CHURU,Hot-dry
BASTI,Temperate
RAJSAMAND,Hot-dry
SAWAI MADHOPUR,Temperate
JHAJJAR,Hot-dry
VISAKHAPATANAM,Warm-humid
AMETHI,Temperate
JODHPUR,Hot-dry
AMRITSAR,Hot-dry
JIND,Hot-dry
SULTANPUR,Temperate
AZAMGARH,Temperate
ANANTAPUR,Hot-dry
MUZAFFARNAGAR,Warm-humid
CHITTOOR,Warm-humid
NAGAUR,Hot-dry
FARRUKHABAD,Warm-humid
BAHRAICH,Temperate
KAPURTHALA,Hot-dry
FATEHPUR,Temperate
SAMBHAL,Composite
MOGA,Composite
GONDA,Temperate
MATHURA,Hot-dry
AMBALA,Temperate
BARNALA,Hot-dry
GURGAON,Hot-dry
CHITRAKOOT,Temperate
JAUNPUR,Temperate
UDAIPUR,Warm-humid
SRIKAKULAM,Warm-humid
MEERUT,Temperate
PATIALA,Hot-dry
