,State_Name,District_Name,Labour_hours,Crop_Year,Season,Crop,Area,Production,yield
2,Andaman and Nicobar Islands,NICOBARS,859.5,2000,Kharif     ,Rice,102.0,321.0,3147.0588235294117
12,Andaman and Nicobar Islands,NICOBARS,859.5,2001,Kharif     ,Rice,83.0,300.0,3614.4578313253014
18,Andaman and Nicobar Islands,NICOBARS,859.5,2002,Kharif     ,Rice,189.2,510.84,2700.0
27,Andaman and Nicobar Islands,NICOBARS,859.5,2003,Kharif     ,Rice,52.0,90.17,1734.0384615384614
36,Andaman and Nicobar Islands,NICOBARS,859.5,2004,Kharif     ,Rice,52.94,72.57,1370.797128825085
45,Andaman and Nicobar Islands,NICOBARS,859.5,2005,Kharif     ,Rice,2.09,12.06,5770.334928229666
64,Andaman and Nicobar Islands,NICOBARS,859.5,2010,Autumn     ,Rice,3.5,10.0,2857.1428571428573
81,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,859.5,2000,Kharif     ,Rice,10779.0,31863.0,2956.025605343724
92,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,859.5,2001,Kharif     ,Rice,9718.0,27033.0,2781.7452150648282
98,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,859.5,2006,Kharif     ,Rice,6854.3,18995.62,2771.3435361743723
111,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,859.5,2010,Autumn     ,Rice,6791.0,20118.0,2962.450301870122
129,Andaman and Nicobar Islands,SOUTH ANDAMANS,859.5,2002,Kharif     ,Rice,10695.8,31600.82,2954.507376727314
139,Andaman and Nicobar Islands,SOUTH ANDAMANS,859.5,2003,Kharif     ,Rice,10509.37,30760.7,2926.9784963323204
149,Andaman and Nicobar Islands,SOUTH ANDAMANS,859.5,2004,Kharif     ,Rice,10681.98,29119.66,2726.0545329611177
159,Andaman and Nicobar Islands,SOUTH ANDAMANS,859.5,2005,Kharif     ,Rice,8683.38,25870.98,2979.367481326396
172,Andaman and Nicobar Islands,SOUTH ANDAMANS,859.5,2006,Kharif     ,Rice,921.87,2539.64,2754.8786705283824
185,Andaman and Nicobar Islands,SOUTH ANDAMANS,859.5,2010,Autumn     ,Rice,1595.5,3788.0,2374.1773738639927
216,Andhra Pradesh,ANANTAPUR,824.4,1997,Kharif     ,Rice,35600.0,75400.0,2117.9775280898875
228,Andhra Pradesh,ANANTAPUR,824.4,1997,Rabi       ,Rice,18000.0,37300.0,2072.222222222222
244,Andhra Pradesh,ANANTAPUR,824.4,1998,Kharif     ,Rice,38300.0,96800.0,2527.415143603133
253,Andhra Pradesh,ANANTAPUR,824.4,1998,Rabi       ,Rice,26600.0,63900.0,2402.2556390977443
268,Andhra Pradesh,ANANTAPUR,824.4,1999,Kharif     ,Rice,37991.0,105082.0,2765.9708878418573
281,Andhra Pradesh,ANANTAPUR,824.4,1999,Rabi       ,Rice,20258.0,45669.0,2254.368644486129
304,Andhra Pradesh,ANANTAPUR,824.4,2000,Kharif     ,Rice,39905.0,117680.0,2949.0038842250347
322,Andhra Pradesh,ANANTAPUR,824.4,2000,Rabi       ,Rice,22099.0,57236.0,2589.9814471243044
351,Andhra Pradesh,ANANTAPUR,824.4,2001,Kharif     ,Rice,32878.0,95609.0,2907.993186933512
368,Andhra Pradesh,ANANTAPUR,824.4,2001,Rabi       ,Rice,38119.0,108906.0,2857.0004459718252
395,Andhra Pradesh,ANANTAPUR,824.4,2002,Kharif     ,Rice,29066.0,66329.0,2282.0133489300215
411,Andhra Pradesh,ANANTAPUR,824.4,2002,Rabi       ,Rice,10960.0,20462.0,1866.970802919708
452,Andhra Pradesh,ANANTAPUR,824.4,2003,Kharif     ,Rice,17515.0,44891.0,2563.0031401655724
470,Andhra Pradesh,ANANTAPUR,824.4,2003,Rabi       ,Rice,10826.0,25463.0,2352.0229078145207
506,Andhra Pradesh,ANANTAPUR,824.4,2004,Kharif     ,Rice,24335.0,85051.0,3495.007191288268
522,Andhra Pradesh,ANANTAPUR,824.4,2004,Rabi       ,Rice,9240.0,21622.0,2340.04329004329
548,Andhra Pradesh,ANANTAPUR,824.4,2005,Kharif     ,Rice,25008.0,69972.0,2797.9846449136276
563,Andhra Pradesh,ANANTAPUR,824.4,2005,Rabi       ,Rice,23142.0,55587.0,2401.9963702359346
589,Andhra Pradesh,ANANTAPUR,824.4,2006,Kharif     ,Rice,22349.0,67427.0,3017.002997896998
603,Andhra Pradesh,ANANTAPUR,824.4,2006,Rabi       ,Rice,10846.0,31974.0,2947.999262400885
626,Andhra Pradesh,ANANTAPUR,824.4,2007,Kharif     ,Rice,30000.0,95000.0,3166.6666666666665
633,Andhra Pradesh,ANANTAPUR,824.4,2007,Rabi       ,Rice,14000.0,37000.0,2642.8571428571427
648,Andhra Pradesh,ANANTAPUR,824.4,2008,Kharif     ,Rice,30306.0,94615.0,3121.989045073583
660,Andhra Pradesh,ANANTAPUR,824.4,2008,Rabi       ,Rice,18416.0,49815.0,2704.984795829713
684,Andhra Pradesh,ANANTAPUR,824.4,2009,Kharif     ,Rice,32226.0,101512.0,3150.003103084466
699,Andhra Pradesh,ANANTAPUR,824.4,2009,Rabi       ,Rice,19428.0,46899.0,2413.990117356393
725,Andhra Pradesh,ANANTAPUR,824.4,2010,Kharif     ,Rice,34973.0,102007.0,2916.7357675921426
738,Andhra Pradesh,ANANTAPUR,824.4,2010,Rabi       ,Rice,24828.0,69394.0,2794.989527952312
767,Andhra Pradesh,ANANTAPUR,824.4,2011,Kharif     ,Rice,37720.0,94531.0,2506.1240721102863
783,Andhra Pradesh,ANANTAPUR,824.4,2011,Rabi       ,Rice,10948.0,25542.0,2333.0288637194008
820,Andhra Pradesh,ANANTAPUR,824.4,2012,Kharif     ,Rice,22056.0,58691.0,2660.9992745738123
