,S_No,State_Name,District_Name,Season,Irrigation,pH,Moisture,Soil_Temp,Climate,Crop_Name,Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours
10,10,Punjab,AMRITSAR,Whole Year ,medium,6,80,25,Hot-dry,Cotton(lint),5000,2000,0.19,1,1,0.46,1,1,745.3
14,14,Punjab,AMRITSAR,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),4000,3000,0.19,1,1,0.46,1,1,745.3
27,27,Punjab,AMRITSAR,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),2000,3000,0.19,1,1,0.46,1,1,745.3
40,40,Punjab,AMRITSAR,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),2000,2000,0.19,1,1,0.46,1,1,745.3
51,51,Punjab,AMRITSAR,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),2000,3000,0.19,1,1,0.46,1,1,745.3
62,62,Punjab,AMRITSAR,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),1000,1000,0.19,1,1,0.46,1,1,745.3
74,74,Punjab,AMRITSAR,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),1000,2000,0.19,1,1,0.46,1,1,745.3
87,87,Punjab,AMRITSAR,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),1000,3000,0.19,1,1,0.46,1,1,745.3
99,99,Punjab,AMRITSAR,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),1000,3000,0.19,1,1,0.46,1,1,745.3
195,195,Punjab,BARNALA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),14000,81000,0.19,1,1,0.46,1,1,745.3
203,203,Punjab,BARNALA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),12000,57000,0.19,1,1,0.46,1,1,745.3
212,212,Punjab,BARNALA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),11000,50000,0.19,1,1,0.46,1,1,745.3
220,220,Punjab,BARNALA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),10000,40000,0.19,1,1,0.46,1,1,745.3
228,228,Punjab,BARNALA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),11000,44000,0.19,1,1,0.46,1,1,745.3
236,236,Punjab,BARNALA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),9000,32000,0.19,1,1,0.46,1,1,745.3
243,243,Punjab,BARNALA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),9000,37000,0.19,1,1,0.46,1,1,745.3
252,252,Punjab,BARNALA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),8000,31000,0.19,1,1,0.46,1,1,745.3
268,268,Punjab,BATHINDA,Whole Year ,medium,6,80,25,Hot-dry,Cotton(lint),199000,286000,0.19,1,1,0.46,1,1,745.3
271,271,Punjab,BATHINDA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),170000,173000,0.19,1,1,0.46,1,1,745.3
281,281,Punjab,BATHINDA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),151000,279000,0.19,1,1,0.46,1,1,745.3
290,290,Punjab,BATHINDA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),147000,331000,0.19,1,1,0.46,1,1,745.3
299,299,Punjab,BATHINDA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),162000,375000,0.19,1,1,0.46,1,1,745.3
311,311,Punjab,BATHINDA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),125000,347000,0.19,1,1,0.46,1,1,745.3
325,325,Punjab,BATHINDA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),128000,411000,0.19,1,1,0.46,1,1,745.3
339,339,Punjab,BATHINDA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),141000,593000,0.19,1,1,0.46,1,1,745.3
351,351,Punjab,BATHINDA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),151000,659000,0.19,1,1,0.46,1,1,745.3
363,363,Punjab,BATHINDA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),161000,739000,0.19,1,1,0.46,1,1,745.3
374,374,Punjab,BATHINDA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),165000,660000,0.19,1,1,0.46,1,1,745.3
383,383,Punjab,BATHINDA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),153000,714000,0.19,1,1,0.46,1,1,745.3
392,392,Punjab,BATHINDA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),150000,659000,0.19,1,1,0.46,1,1,745.3
401,401,Punjab,BATHINDA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),147000,607000,0.19,1,1,0.46,1,1,745.3
410,410,Punjab,BATHINDA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),155000,573000,0.19,1,1,0.46,1,1,745.3
418,418,Punjab,BATHINDA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),151000,581000,0.19,1,1,0.46,1,1,745.3
428,428,Punjab,BATHINDA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),142000,505000,0.19,1,1,0.46,1,1,745.3
436,436,Punjab,BATHINDA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),139000,498000,0.19,1,1,0.46,1,1,745.3
451,451,Punjab,FARIDKOT,Whole Year ,medium,6,80,25,Hot-dry,Cotton(lint),48000,35000,0.19,1,1,0.46,1,1,745.3
454,454,Punjab,FARIDKOT,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),22000,19000,0.19,1,1,0.46,1,1,745.3
463,463,Punjab,FARIDKOT,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),15000,29000,0.19,1,1,0.46,1,1,745.3
472,472,Punjab,FARIDKOT,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),14000,35000,0.19,1,1,0.46,1,1,745.3
481,481,Punjab,FARIDKOT,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),36000,72000,0.19,1,1,0.46,1,1,745.3
489,489,Punjab,FARIDKOT,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),16000,25000,0.19,1,1,0.46,1,1,745.3
501,501,Punjab,FARIDKOT,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),20000,58000,0.19,1,1,0.46,1,1,745.3
513,513,Punjab,FARIDKOT,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),21000,68000,0.19,1,1,0.46,1,1,745.3
524,524,Punjab,FARIDKOT,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),25000,108000,0.19,1,1,0.46,1,1,745.3
535,535,Punjab,FARIDKOT,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),29000,137000,0.19,1,1,0.46,1,1,745.3
543,543,Punjab,FARIDKOT,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),28000,105000,0.19,1,1,0.46,1,1,745.3
550,550,Punjab,FARIDKOT,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),21000,85000,0.19,1,1,0.46,1,1,745.3
556,556,Punjab,FARIDKOT,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),18000,71000,0.19,1,1,0.46,1,1,745.3
562,562,Punjab,FARIDKOT,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),15000,56000,0.19,1,1,0.46,1,1,745.3
568,568,Punjab,FARIDKOT,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),17000,52000,0.19,1,1,0.46,1,1,745.3
573,573,Punjab,FARIDKOT,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),15000,46000,0.19,1,1,0.46,1,1,745.3
578,578,Punjab,FARIDKOT,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),12000,37000,0.19,1,1,0.46,1,1,745.3
583,583,Punjab,FARIDKOT,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),10000,37000,0.19,1,1,0.46,1,1,745.3
702,702,Punjab,FAZILKA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),112000,292000,0.19,1,1,0.46,1,1,745.3
710,710,Punjab,FAZILKA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),98000,310000,0.19,1,1,0.46,1,1,745.3
718,718,Punjab,FAZILKA,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),98000,251000,0.19,1,1,0.46,1,1,745.3
732,732,Punjab,FIROZEPUR,Whole Year ,medium,6,80,25,Hot-dry,Cotton(lint),153000,209000,0.19,1,1,0.46,1,1,745.3
736,736,Punjab,FIROZEPUR,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),138000,189000,0.19,1,1,0.46,1,1,745.3
745,745,Punjab,FIROZEPUR,Kharif     ,medium,6,80,25,Hot-dry,Cotton(lint),119000,257000,0.19,1,1,0.46,1,1,745.3
