Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours,Rainfall,Yield
5000,2000,0.19,1,1,0.46,1,1,745.3,649,400
4000,3000,0.19,1,1,0.46,1,1,745.3,649,750
2000,3000,0.19,1,1,0.46,1,1,745.3,649,1500
2000,2000,0.19,1,1,0.46,1,1,745.3,649,1000
2000,3000,0.19,1,1,0.46,1,1,745.3,649,1500
1000,1000,0.19,1,1,0.46,1,1,745.3,649,1000
1000,2000,0.19,1,1,0.46,1,1,745.3,649,2000
1000,3000,0.19,1,1,0.46,1,1,745.3,649,3000
1000,3000,0.19,1,1,0.46,1,1,745.3,649,3000
14000,81000,0.19,1,1,0.46,1,1,745.3,649,5785.714286
12000,57000,0.19,1,1,0.46,1,1,745.3,649,4750
11000,50000,0.19,1,1,0.46,1,1,745.3,649,4545.454545
10000,40000,0.19,1,1,0.46,1,1,745.3,649,4000
11000,44000,0.19,1,1,0.46,1,1,745.3,649,4000
9000,32000,0.19,1,1,0.46,1,1,745.3,649,3555.555556
9000,37000,0.19,1,1,0.46,1,1,745.3,649,4111.111111
8000,31000,0.19,1,1,0.46,1,1,745.3,649,3875
199000,286000,0.19,1,1,0.46,1,1,745.3,649,1437.18593
170000,173000,0.19,1,1,0.46,1,1,745.3,649,1017.647059
151000,279000,0.19,1,1,0.46,1,1,745.3,649,1847.682119
147000,331000,0.19,1,1,0.46,1,1,745.3,649,2251.70068
162000,375000,0.19,1,1,0.46,1,1,745.3,649,2314.814815
125000,347000,0.19,1,1,0.46,1,1,745.3,649,2776
128000,411000,0.19,1,1,0.46,1,1,745.3,649,3210.9375
141000,593000,0.19,1,1,0.46,1,1,745.3,649,4205.673759
151000,659000,0.19,1,1,0.46,1,1,745.3,649,4364.238411
161000,739000,0.19,1,1,0.46,1,1,745.3,649,4590.062112
165000,660000,0.19,1,1,0.46,1,1,745.3,649,4000
153000,714000,0.19,1,1,0.46,1,1,745.3,649,4666.666667
150000,659000,0.19,1,1,0.46,1,1,745.3,649,4393.333333
147000,607000,0.19,1,1,0.46,1,1,745.3,649,4129.251701
155000,573000,0.19,1,1,0.46,1,1,745.3,649,3696.774194
151000,581000,0.19,1,1,0.46,1,1,745.3,649,3847.682119
