,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
12,"frozenset({'(600, 700]_l'})","frozenset({'(0.6, 0.7]_fert'})",0.39384920634920634,0.39384920634920634,0.39384920634920634,1.0,2.53904282115869,0.23873200900730662,inf
13,"frozenset({'(0.6, 0.7]_fert'})","frozenset({'(600, 700]_l'})",0.39384920634920634,0.39384920634920634,0.39384920634920634,1.0,2.53904282115869,0.23873200900730662,inf
45,"frozenset({'(600, 700]_l', '(400, 500]_r'})","frozenset({'(0.6, 0.7]_fert'})",0.39384920634920634,0.39384920634920634,0.39384920634920634,1.0,2.53904282115869,0.23873200900730662,inf
46,"frozenset({'(0.6, 0.7]_fert', '(400, 500]_r'})","frozenset({'(600, 700]_l'})",0.39384920634920634,0.39384920634920634,0.39384920634920634,1.0,2.53904282115869,0.23873200900730662,inf
47,"frozenset({'(600, 700]_l'})","frozenset({'(0.6, 0.7]_fert', '(400, 500]_r'})",0.39384920634920634,0.39384920634920634,0.39384920634920634,1.0,2.53904282115869,0.23873200900730662,inf
48,"frozenset({'(0.6, 0.7]_fert'})","frozenset({'(600, 700]_l', '(400, 500]_r'})",0.39384920634920634,0.39384920634920634,0.39384920634920634,1.0,2.53904282115869,0.23873200900730662,inf
51,"frozenset({'(600, 700]_l', '(-1, 2000]_y'})","frozenset({'(0.6, 0.7]_fert'})",0.35714285714285715,0.39384920634920634,0.35714285714285715,1.0,2.53904282115869,0.2164824263038549,inf
52,"frozenset({'(0.6, 0.7]_fert', '(-1, 2000]_y'})","frozenset({'(600, 700]_l'})",0.35714285714285715,0.39384920634920634,0.35714285714285715,1.0,2.53904282115869,0.2164824263038549,inf
70,"frozenset({'(600, 700]_l', '(400, 500]_r', '(-1, 2000]_y'})","frozenset({'(0.6, 0.7]_fert'})",0.35714285714285715,0.39384920634920634,0.35714285714285715,1.0,2.53904282115869,0.2164824263038549,inf
71,"frozenset({'(0.6, 0.7]_fert', '(400, 500]_r', '(-1, 2000]_y'})","frozenset({'(600, 700]_l'})",0.35714285714285715,0.39384920634920634,0.35714285714285715,1.0,2.53904282115869,0.2164824263038549,inf
74,"frozenset({'(600, 700]_l', '(-1, 2000]_y'})","frozenset({'(0.6, 0.7]_fert', '(400, 500]_r'})",0.35714285714285715,0.39384920634920634,0.35714285714285715,1.0,2.53904282115869,0.2164824263038549,inf
76,"frozenset({'(0.6, 0.7]_fert', '(-1, 2000]_y'})","frozenset({'(600, 700]_l', '(400, 500]_r'})",0.35714285714285715,0.39384920634920634,0.35714285714285715,1.0,2.53904282115869,0.2164824263038549,inf
16,"frozenset({'(0.0, 0.6]_fert'})","frozenset({'(800, 900]_l'})",0.42162698412698413,0.42162698412698413,0.42162698412698413,1.0,2.3717647058823528,0.243857670382968,inf
17,"frozenset({'(800, 900]_l'})","frozenset({'(0.0, 0.6]_fert'})",0.42162698412698413,0.42162698412698413,0.42162698412698413,1.0,2.3717647058823528,0.243857670382968,inf
26,"frozenset({'(-1, 5000]_a', '(0.0, 0.6]_fert'})","frozenset({'(800, 900]_l'})",0.31646825396825395,0.42162698412698413,0.31646825396825395,1.0,2.3717647058823528,0.18303669847568657,inf
27,"frozenset({'(-1, 5000]_a', '(800, 900]_l'})","frozenset({'(0.0, 0.6]_fert'})",0.31646825396825395,0.42162698412698413,0.31646825396825395,1.0,2.3717647058823528,0.18303669847568657,inf
57,"frozenset({'(0.0, 0.6]_fert', '(-1, 2000]_y'})","frozenset({'(800, 900]_l'})",0.310515873015873,0.42162698412698413,0.310515873015873,1.0,2.3717647058823528,0.17959400195263292,inf
58,"frozenset({'(800, 900]_l', '(-1, 2000]_y'})","frozenset({'(0.0, 0.6]_fert'})",0.310515873015873,0.42162698412698413,0.310515873015873,1.0,2.3717647058823528,0.17959400195263292,inf
8,"frozenset({'(600, 700]_l'})","frozenset({'(400, 500]_r'})",0.39384920634920634,0.6130952380952381,0.39384920634920634,1.0,1.6310679611650485,0.1523821334089191,inf
20,"frozenset({'(0.6, 0.7]_fert'})","frozenset({'(400, 500]_r'})",0.39384920634920634,0.6130952380952381,0.39384920634920634,1.0,1.6310679611650485,0.1523821334089191,inf
39,"frozenset({'(600, 700]_l', '(-1, 2000]_y'})","frozenset({'(400, 500]_r'})",0.35714285714285715,0.6130952380952381,0.35714285714285715,1.0,1.6310679611650485,0.13818027210884354,inf
44,"frozenset({'(600, 700]_l', '(0.6, 0.7]_fert'})","frozenset({'(400, 500]_r'})",0.39384920634920634,0.6130952380952381,0.39384920634920634,1.0,1.6310679611650485,0.1523821334089191,inf
63,"frozenset({'(0.6, 0.7]_fert', '(-1, 2000]_y'})","frozenset({'(400, 500]_r'})",0.35714285714285715,0.6130952380952381,0.35714285714285715,1.0,1.6310679611650485,0.13818027210884354,inf
