,S_No,State_Name,District_Name,Season,Irrigation,pH,Moisture,Soil_Temp,Climate,Crop_Name,Area,Production
2,2,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,7000,14000.0
3,3,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry,Rice,292000,879000.0
9,9,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,349000,1318000.0
10,10,Punjab,AMRITSAR,Whole Year ,medium,6.0,80,25,Hot-dry,Cotton(lint),5000,2000.0
12,12,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,11000,600000.0
14,14,Punjab,AMRITSAR,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),4000,3000.0
15,15,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,6000,14000.0
17,17,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry,Rice,305000,878000.0
24,24,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,214000,862000.0
25,25,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,9000,540000.0
27,27,Punjab,AMRITSAR,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),2000,3000.0
28,28,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,5000,12000.0
30,30,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry,Rice,319000,991000.0
37,37,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,358000,1738000.0
38,38,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,8000,530000.0
40,40,Punjab,AMRITSAR,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),2000,2000.0
41,41,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,5000,11000.0
43,43,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry,Rice,319000,972000.0
48,48,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,361000,1690000.0
49,49,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,11000,700000.0
51,51,Punjab,AMRITSAR,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),2000,3000.0
52,52,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,5000,12000.0
54,54,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry,Rice,319000,958000.0
59,59,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,363000,1700000.0
60,60,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,11000,750000.0
62,62,Punjab,AMRITSAR,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),1000,1000.0
63,63,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,4000,7000.0
65,65,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry,Rice,311000,879000.0
71,71,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,356000,1513000.0
72,72,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,11000,720000.0
74,74,Punjab,AMRITSAR,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),1000,2000.0
75,75,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,4000,13000.0
77,77,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry,Rice,326000,872000.0
84,84,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,358000,1538000.0
85,85,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,10000,570000.0
87,87,Punjab,AMRITSAR,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),1000,3000.0
88,88,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,4000,13000.0
90,90,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry,Rice,334000,1034000.0
96,96,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,372000,1591000.0
97,97,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,7000,440000.0
99,99,Punjab,AMRITSAR,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),1000,3000.0
100,100,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,3000,11000.0
102,102,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry,Rice,345000,1003000.0
108,108,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,371000,1643000.0
109,109,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,6000,367000.0
111,111,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,2000,9000.0
112,112,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry,Rice,178000,538000.0
118,118,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,185000,767000.0
120,120,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,2000,10000.0
121,121,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry,Rice,178000,546000.0
126,126,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,184000,810000.0
129,129,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,1000,4000.0
131,131,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry,Rice,183000,532000.0
136,136,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,187000,757000.0
138,138,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,1000,4000.0
139,139,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry,Rice,185000,501000.0
143,143,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,185000,753000.0
144,144,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,300,18000.0
146,146,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,1000,3000.0
148,148,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry,Rice,186000,503000.0
153,153,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,189000,810000.0
156,156,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,1000,6000.0
157,157,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry,Rice,184000,482000.0
162,162,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,190000,945000.0
163,163,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,3,203000.0
165,165,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry,Rice,185000,544000.0
171,171,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,190000,884000.0
173,173,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,2000,141000.0
175,175,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,1000,4000.0
177,177,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry,Rice,182000,518000.0
182,182,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,188000,934000.0
183,183,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,5000,401000.0
185,185,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,1000,4000.0
187,187,Punjab,AMRITSAR,Kharif     ,high,6.0,60,4,Hot-dry,Rice,182000,505000.0
192,192,Punjab,AMRITSAR,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,188000,736000.0
193,193,Punjab,AMRITSAR,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,4000,301000.0
195,195,Punjab,BARNALA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),14000,81000.0
197,197,Punjab,BARNALA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,99000,466000.0
201,201,Punjab,BARNALA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,112000,535000.0
203,203,Punjab,BARNALA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),12000,57000.0
206,206,Punjab,BARNALA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,102000,485000.0
210,210,Punjab,BARNALA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,114000,554000.0
212,212,Punjab,BARNALA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),11000,50000.0
214,214,Punjab,BARNALA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,104000,496000.0
218,218,Punjab,BARNALA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,114000,520000.0
220,220,Punjab,BARNALA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),10000,40000.0
222,222,Punjab,BARNALA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,105000,465000.0
226,226,Punjab,BARNALA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,115000,572000.0
228,228,Punjab,BARNALA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),11000,44000.0
230,230,Punjab,BARNALA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,105000,459000.0
234,234,Punjab,BARNALA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,115000,615000.0
236,236,Punjab,BARNALA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),9000,32000.0
238,238,Punjab,BARNALA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,106000,490000.0
240,240,Punjab,BARNALA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,114000,567000.0
243,243,Punjab,BARNALA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),9000,37000.0
246,246,Punjab,BARNALA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,107000,500000.0
249,249,Punjab,BARNALA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,114000,596000.0
250,250,Punjab,BARNALA,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,1000,90000.0
252,252,Punjab,BARNALA,Kharif     ,medium,6.0,80,25,Hot-dry,Cotton(lint),8000,31000.0
255,255,Punjab,BARNALA,Kharif     ,high,6.0,60,4,Hot-dry,Rice,108000,507000.0
259,259,Punjab,BARNALA,Rabi       ,medium,6.0,80,25,Hot-dry,Wheat,114000,527000.0
260,260,Punjab,BARNALA,Whole Year ,high,6.0,60,40,Hot-dry,Sugarcane,1000,87000.0
