,S_No,State_Name,District_Name,Season,Irrigation,pH,Moisture,Soil_Temp,Climate,Crop_Name,Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours
2,2,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,7000,14000,0.19,1,1,0.46,1,1,480
15,15,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,6000,14000,0.19,1,1,0.46,1,1,480
28,28,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,5000,12000,0.19,1,1,0.46,1,1,480
41,41,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,5000,11000,0.19,1,1,0.46,1,1,480
52,52,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,5000,12000,0.19,1,1,0.46,1,1,480
63,63,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,4000,7000,0.19,1,1,0.46,1,1,480
75,75,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,4000,13000,0.19,1,1,0.46,1,1,480
88,88,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,4000,13000,0.19,1,1,0.46,1,1,480
100,100,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,3000,11000,0.19,1,1,0.46,1,1,480
111,111,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,2000,9000,0.19,1,1,0.46,1,1,480
120,120,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,2000,10000,0.19,1,1,0.46,1,1,480
129,129,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,1000,4000,0.19,1,1,0.46,1,1,480
138,138,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,1000,4000,0.19,1,1,0.46,1,1,480
146,146,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,1000,3000,0.19,1,1,0.46,1,1,480
156,156,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,1000,6000,0.19,1,1,0.46,1,1,480
175,175,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,1000,4000,0.19,1,1,0.46,1,1,480
185,185,Punjab,AMRITSAR,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,1000,4000,0.19,1,1,0.46,1,1,480
291,291,Punjab,BATHINDA,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,1000,3000,0.19,1,1,0.46,1,1,480
313,313,Punjab,BATHINDA,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,1000,2000,0.19,1,1,0.46,1,1,480
327,327,Punjab,BATHINDA,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,1000,3000,0.19,1,1,0.46,1,1,480
438,438,Punjab,BATHINDA,Kharif     ,medium,6.25,80,25,Hot-dry,Maize,1000,4000,0.19,1,1,0.46,1,1,480
589,589,Punjab,FATEHGARH SAHIB,Kharif     ,medium,6.25,80,25,Temperate,Maize,1000,2000,0.19,1,1,0.46,1,1,480
597,597,Punjab,FATEHGARH SAHIB,Kharif     ,medium,6.25,80,25,Temperate,Maize,1000,2000,0.19,1,1,0.46,1,1,480
605,605,Punjab,FATEHGARH SAHIB,Kharif     ,medium,6.25,80,25,Temperate,Maize,1000,3000,0.19,1,1,0.46,1,1,480
612,612,Punjab,FATEHGARH SAHIB,Kharif     ,medium,6.25,80,25,Temperate,Maize,1000,3000,0.19,1,1,0.46,1,1,480
620,620,Punjab,FATEHGARH SAHIB,Kharif     ,medium,6.25,80,25,Temperate,Maize,1000,3000,0.19,1,1,0.46,1,1,480
629,629,Punjab,FATEHGARH SAHIB,Kharif     ,medium,6.25,80,25,Temperate,Maize,1000,3000,0.19,1,1,0.46,1,1,480
638,638,Punjab,FATEHGARH SAHIB,Kharif     ,medium,6.25,80,25,Temperate,Maize,1000,3000,0.19,1,1,0.46,1,1,480
645,645,Punjab,FATEHGARH SAHIB,Kharif     ,medium,6.25,80,25,Temperate,Maize,1000,4000,0.19,1,1,0.46,1,1,480
658,658,Punjab,FATEHGARH SAHIB,Kharif     ,medium,6.25,80,25,Temperate,Maize,1000,4000,0.19,1,1,0.46,1,1,480
662,662,Punjab,FATEHGARH SAHIB,Kharif     ,medium,6.25,80,25,Temperate,Maize,1000,3000,0.19,1,1,0.46,1,1,480
668,668,Punjab,FATEHGARH SAHIB,Kharif     ,medium,6.25,80,25,Temperate,Maize,1000,4000,0.19,1,1,0.46,1,1,480
673,673,Punjab,FATEHGARH SAHIB,Kharif     ,medium,6.25,80,25,Temperate,Maize,1000,3000,0.19,1,1,0.46,1,1,480
682,682,Punjab,FATEHGARH SAHIB,Kharif     ,medium,6.25,80,25,Temperate,Maize,1000,4000,0.19,1,1,0.46,1,1,480
689,689,Punjab,FATEHGARH SAHIB,Kharif     ,medium,6.25,80,25,Temperate,Maize,1000,4000,0.19,1,1,0.46,1,1,480
694,694,Punjab,FATEHGARH SAHIB,Kharif     ,medium,6.25,80,25,Temperate,Maize,1000,4000,0.19,1,1,0.46,1,1,480
918,918,Punjab,GURDASPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,14000,23000,0.19,1,1,0.46,1,1,480
927,927,Punjab,GURDASPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,14000,31000,0.19,1,1,0.46,1,1,480
938,938,Punjab,GURDASPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,13000,27000,0.19,1,1,0.46,1,1,480
949,949,Punjab,GURDASPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,13000,28000,0.19,1,1,0.46,1,1,480
958,958,Punjab,GURDASPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,14000,29000,0.19,1,1,0.46,1,1,480
967,967,Punjab,GURDASPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,12000,18000,0.19,1,1,0.46,1,1,480
976,976,Punjab,GURDASPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,13000,31000,0.19,1,1,0.46,1,1,480
986,986,Punjab,GURDASPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,15000,35000,0.19,1,1,0.46,1,1,480
998,998,Punjab,GURDASPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,13000,30000,0.19,1,1,0.46,1,1,480
1008,1008,Punjab,GURDASPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,13000,29000,0.19,1,1,0.46,1,1,480
1017,1017,Punjab,GURDASPUR,Kharif     ,medium,6.25,80,25,Temperate,Maize,13000,28000,0.19,1,1,0.46,1,1,480
