Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours,Rainfall,Yield
7000,14000,0.19,1,1,0.46,1,1,480,649,2000
6000,14000,0.19,1,1,0.46,1,1,480,649,2333.333333
5000,12000,0.19,1,1,0.46,1,1,480,649,2400
5000,11000,0.19,1,1,0.46,1,1,480,649,2200
5000,12000,0.19,1,1,0.46,1,1,480,649,2400
4000,7000,0.19,1,1,0.46,1,1,480,649,1750
4000,13000,0.19,1,1,0.46,1,1,480,649,3250
4000,13000,0.19,1,1,0.46,1,1,480,649,3250
3000,11000,0.19,1,1,0.46,1,1,480,649,3666.666667
2000,9000,0.19,1,1,0.46,1,1,480,649,4500
2000,10000,0.19,1,1,0.46,1,1,480,649,5000
1000,4000,0.19,1,1,0.46,1,1,480,649,4000
1000,4000,0.19,1,1,0.46,1,1,480,649,4000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
1000,6000,0.19,1,1,0.46,1,1,480,649,6000
1000,4000,0.19,1,1,0.46,1,1,480,649,4000
1000,4000,0.19,1,1,0.46,1,1,480,649,4000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
1000,2000,0.19,1,1,0.46,1,1,480,649,2000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
1000,4000,0.19,1,1,0.46,1,1,480,649,4000
1000,2000,0.19,1,1,0.46,1,1,480,649,2000
1000,2000,0.19,1,1,0.46,1,1,480,649,2000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
1000,4000,0.19,1,1,0.46,1,1,480,649,4000
1000,4000,0.19,1,1,0.46,1,1,480,649,4000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
1000,4000,0.19,1,1,0.46,1,1,480,649,4000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
1000,4000,0.19,1,1,0.46,1,1,480,649,4000
1000,4000,0.19,1,1,0.46,1,1,480,649,4000
1000,4000,0.19,1,1,0.46,1,1,480,649,4000
14000,23000,0.19,1,1,0.46,1,1,480,649,1642.857143
14000,31000,0.19,1,1,0.46,1,1,480,649,2214.285714
13000,27000,0.19,1,1,0.46,1,1,480,649,2076.923077
13000,28000,0.19,1,1,0.46,1,1,480,649,2153.846154
14000,29000,0.19,1,1,0.46,1,1,480,649,2071.428571
12000,18000,0.19,1,1,0.46,1,1,480,649,1500
13000,31000,0.19,1,1,0.46,1,1,480,649,2384.615385
15000,35000,0.19,1,1,0.46,1,1,480,649,2333.333333
13000,30000,0.19,1,1,0.46,1,1,480,649,2307.692308
13000,29000,0.19,1,1,0.46,1,1,480,649,2230.769231
13000,28000,0.19,1,1,0.46,1,1,480,649,2153.846154
13000,30000,0.19,1,1,0.46,1,1,480,649,2307.692308
11000,25000,0.19,1,1,0.46,1,1,480,649,2272.727273
11000,30000,0.19,1,1,0.46,1,1,480,649,2727.272727
10000,25000,0.19,1,1,0.46,1,1,480,649,2500
2000,5000,0.19,1,1,0.46,1,1,480,649,2500
1000,2000,0.19,1,1,0.46,1,1,480,649,2000
1000,3000,0.19,1,1,0.46,1,1,480,649,3000
65000,144000,0.19,1,1,0.46,1,1,480,649,2215.384615
63000,141000,0.19,1,1,0.46,1,1,480,649,2238.095238
66000,177000,0.19,1,1,0.46,1,1,480,649,2681.818182
66000,184000,0.19,1,1,0.46,1,1,480,649,2787.878788
65000,189000,0.19,1,1,0.46,1,1,480,649,2907.692308
62000,128000,0.19,1,1,0.46,1,1,480,649,2064.516129
66000,187000,0.19,1,1,0.46,1,1,480,649,2833.333333
67000,194000,0.19,1,1,0.46,1,1,480,649,2895.522388
66000,172000,0.19,1,1,0.46,1,1,480,649,2606.060606
68000,225000,0.19,1,1,0.46,1,1,480,649,3308.823529
70000,230000,0.19,1,1,0.46,1,1,480,649,3285.714286
70000,242000,0.19,1,1,0.46,1,1,480,649,3457.142857
67000,240000,0.19,1,1,0.46,1,1,480,649,3582.089552
63000,241000,0.19,1,1,0.46,1,1,480,649,3825.396825
59000,241000,0.19,1,1,0.46,1,1,480,649,4084.745763
61000,248000,0.19,1,1,0.46,1,1,480,649,4065.57377
58000,228000,0.19,1,1,0.46,1,1,480,649,3931.034483
59000,222000,0.19,1,1,0.46,1,1,480,649,3762.711864
15000,37000,0.19,1,1,0.46,1,1,480,649,2466.666667
13000,34000,0.19,1,1,0.46,1,1,480,649,2615.384615
15000,44000,0.19,1,1,0.46,1,1,480,649,2933.333333
16000,52000,0.19,1,1,0.46,1,1,480,649,3250
