,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
20,"frozenset({'(0.75, 1.0]_fert', '(400, 500]_r'})","frozenset({'(500, 1100]_l'})",0.9174107142857143,0.9174107142857143,0.9174107142857143,1.0,1.0900243309002433,0.07576829559948983,inf
25,"frozenset({'(500, 1100]_l'})","frozenset({'(0.75, 1.0]_fert', '(400, 500]_r'})",0.9174107142857143,0.9174107142857143,0.9174107142857143,1.0,1.0900243309002433,0.07576829559948983,inf
27,"frozenset({'(0.75, 1.0]_fert', '(-1, 1300]_y'})","frozenset({'(500, 1100]_l'})",0.53125,0.9174107142857143,0.53125,1.0,1.0900243309002433,0.0438755580357143,inf
36,"frozenset({'(0.75, 1.0]_fert', '(400, 500]_r', '(2500, 220000]_a'})","frozenset({'(500, 1100]_l'})",0.5178571428571429,0.9174107142857143,0.5178571428571429,1.0,1.0900243309002433,0.042769451530612235,inf
41,"frozenset({'(2500, 220000]_a', '(500, 1100]_l'})","frozenset({'(0.75, 1.0]_fert', '(400, 500]_r'})",0.5178571428571429,0.9174107142857143,0.5178571428571429,1.0,1.0900243309002433,0.042769451530612235,inf
47,"frozenset({'(0.75, 1.0]_fert', '(400, 500]_r', '(-1, 1300]_y'})","frozenset({'(500, 1100]_l'})",0.53125,0.9174107142857143,0.53125,1.0,1.0900243309002433,0.0438755580357143,inf
52,"frozenset({'(0.75, 1.0]_fert', '(-1, 1300]_y'})","frozenset({'(400, 500]_r', '(500, 1100]_l'})",0.53125,0.9174107142857143,0.53125,1.0,1.0900243309002433,0.0438755580357143,inf
55,"frozenset({'(500, 1100]_l', '(-1, 1300]_y'})","frozenset({'(0.75, 1.0]_fert', '(400, 500]_r'})",0.53125,0.9174107142857143,0.53125,1.0,1.0900243309002433,0.0438755580357143,inf
5,"frozenset({'(500, 1100]_l'})","frozenset({'(0.75, 1.0]_fert'})",0.9174107142857143,0.9464285714285714,0.9174107142857143,1.0,1.0566037735849056,0.04914700255102045,inf
11,"frozenset({'(2500, 220000]_a', '(500, 1100]_l'})","frozenset({'(0.75, 1.0]_fert'})",0.5178571428571429,0.9464285714285714,0.5178571428571429,1.0,1.0566037735849056,0.02774234693877553,inf
22,"frozenset({'(400, 500]_r', '(500, 1100]_l'})","frozenset({'(0.75, 1.0]_fert'})",0.9174107142857143,0.9464285714285714,0.9174107142857143,1.0,1.0566037735849056,0.04914700255102045,inf
28,"frozenset({'(500, 1100]_l', '(-1, 1300]_y'})","frozenset({'(0.75, 1.0]_fert'})",0.53125,0.9464285714285714,0.53125,1.0,1.0566037735849056,0.028459821428571397,inf
38,"frozenset({'(2500, 220000]_a', '(400, 500]_r', '(500, 1100]_l'})","frozenset({'(0.75, 1.0]_fert'})",0.5178571428571429,0.9464285714285714,0.5178571428571429,1.0,1.0566037735849056,0.02774234693877553,inf
49,"frozenset({'(400, 500]_r', '(500, 1100]_l', '(-1, 1300]_y'})","frozenset({'(0.75, 1.0]_fert'})",0.53125,0.9464285714285714,0.53125,1.0,1.0566037735849056,0.028459821428571397,inf
1,"frozenset({'(500, 1100]_l'})","frozenset({'(400, 500]_r'})",0.9174107142857143,0.9709821428571429,0.9174107142857143,1.0,1.0298850574712644,0.026621293048469385,inf
7,"frozenset({'(-1, 1300]_y'})","frozenset({'(400, 500]_r'})",0.5691964285714286,0.9709821428571429,0.5691964285714286,1.0,1.0298850574712644,0.016516860650510168,inf
8,"frozenset({'(2500, 220000]_a', '(500, 1100]_l'})","frozenset({'(400, 500]_r'})",0.5178571428571429,0.9709821428571429,0.5178571428571429,1.0,1.0298850574712644,0.01502710459183676,inf
16,"frozenset({'(500, 1100]_l', '(-1, 1300]_y'})","frozenset({'(400, 500]_r'})",0.53125,0.9709821428571429,0.53125,1.0,1.0298850574712644,0.015415736607142794,inf
21,"frozenset({'(0.75, 1.0]_fert', '(500, 1100]_l'})","frozenset({'(400, 500]_r'})",0.9174107142857143,0.9709821428571429,0.9174107142857143,1.0,1.0298850574712644,0.026621293048469385,inf
