,S_No,State_Name,District_Name,Season,Irrigation,pH,Moisture,Soil_Temp,Climate,Crop_Name,Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours
3256,3256,Andhra Pradesh,ANANTAPUR,Whole Year ,low,6.25,90,15,Hot-dry,Onion,1770,32364,1,0.6,1,1,1,1,562
3270,3270,Andhra Pradesh,ANANTAPUR,Kharif     ,low,6.25,90,15,Hot-dry,Onion,1103,15470,1,0.6,1,1,1,1,562
3290,3290,Andhra Pradesh,ANANTAPUR,Rabi       ,low,6.25,90,15,Hot-dry,Onion,482,11514,1,0.6,1,1,1,1,562
3318,3318,Andhra Pradesh,ANANTAPUR,Kharif     ,low,6.25,90,15,Hot-dry,Onion,1165,19232,1,0.6,1,1,1,1,562
3335,3335,Andhra Pradesh,ANANTAPUR,Rabi       ,low,6.25,90,15,Hot-dry,Onion,380,8465,1,0.6,1,1,1,1,562
3362,3362,Andhra Pradesh,ANANTAPUR,Kharif     ,low,6.25,90,15,Hot-dry,Onion,776,8432,1,0.6,1,1,1,1,562
3379,3379,Andhra Pradesh,ANANTAPUR,Rabi       ,low,6.25,90,15,Hot-dry,Onion,401,7192,1,0.6,1,1,1,1,562
3419,3419,Andhra Pradesh,ANANTAPUR,Kharif     ,low,6.25,90,15,Hot-dry,Onion,846,13250,1,0.6,1,1,1,1,562
3437,3437,Andhra Pradesh,ANANTAPUR,Rabi       ,low,6.25,90,15,Hot-dry,Onion,535,11180,1,0.6,1,1,1,1,562
3473,3473,Andhra Pradesh,ANANTAPUR,Kharif     ,low,6.25,90,15,Hot-dry,Onion,1324,24824,1,0.6,1,1,1,1,562
3490,3490,Andhra Pradesh,ANANTAPUR,Rabi       ,low,6.25,90,15,Hot-dry,Onion,234,4830,1,0.6,1,1,1,1,562
3515,3515,Andhra Pradesh,ANANTAPUR,Kharif     ,low,6.25,90,15,Hot-dry,Onion,985,17025,1,0.6,1,1,1,1,562
3531,3531,Andhra Pradesh,ANANTAPUR,Rabi       ,low,6.25,90,15,Hot-dry,Onion,381,9063,1,0.6,1,1,1,1,562
3556,3556,Andhra Pradesh,ANANTAPUR,Kharif     ,low,6.25,90,15,Hot-dry,Onion,869,9423,1,0.6,1,1,1,1,562
3571,3571,Andhra Pradesh,ANANTAPUR,Rabi       ,low,6.25,90,15,Hot-dry,Onion,167,4075,1,0.6,1,1,1,1,562
3594,3594,Andhra Pradesh,ANANTAPUR,Kharif     ,low,6.25,90,15,Hot-dry,Onion,2000,38000,1,0.6,1,1,1,1,562
3615,3615,Andhra Pradesh,ANANTAPUR,Kharif     ,low,6.25,90,15,Hot-dry,Onion,1376,23531,1,0.6,1,1,1,1,562
3628,3628,Andhra Pradesh,ANANTAPUR,Rabi       ,low,6.25,90,15,Hot-dry,Onion,173,4129,1,0.6,1,1,1,1,562
3651,3651,Andhra Pradesh,ANANTAPUR,Kharif     ,low,6.25,90,15,Hot-dry,Onion,1663,29811,1,0.6,1,1,1,1,562
3666,3666,Andhra Pradesh,ANANTAPUR,Rabi       ,low,6.25,90,15,Hot-dry,Onion,230,5665,1,0.6,1,1,1,1,562
3692,3692,Andhra Pradesh,ANANTAPUR,Kharif     ,low,6.25,90,15,Hot-dry,Onion,1620,26924,1,0.6,1,1,1,1,562
3706,3706,Andhra Pradesh,ANANTAPUR,Rabi       ,low,6.25,90,15,Hot-dry,Onion,306,8233,1,0.6,1,1,1,1,562
3733,3733,Andhra Pradesh,ANANTAPUR,Kharif     ,low,6.25,90,15,Hot-dry,Onion,2757,39563,1,0.6,1,1,1,1,562
3751,3751,Andhra Pradesh,ANANTAPUR,Rabi       ,low,6.25,90,15,Hot-dry,Onion,208,4259,1,0.6,1,1,1,1,562
3786,3786,Andhra Pradesh,ANANTAPUR,Kharif     ,low,6.25,90,15,Hot-dry,Onion,1548,25393,1,0.6,1,1,1,1,562
3813,3813,Andhra Pradesh,ANANTAPUR,Rabi       ,low,6.25,90,15,Hot-dry,Onion,84,1195,1,0.6,1,1,1,1,562
3845,3845,Andhra Pradesh,ANANTAPUR,Kharif     ,low,6.25,90,15,Hot-dry,Onion,1414,31097,1,0.6,1,1,1,1,562
3875,3875,Andhra Pradesh,ANANTAPUR,Rabi       ,low,6.25,90,15,Hot-dry,Onion,611,14317,1,0.6,1,1,1,1,562
3916,3916,Andhra Pradesh,ANANTAPUR,Kharif     ,low,6.25,90,15,Hot-dry,Onion,1969,35214,1,0.6,1,1,1,1,562
3947,3947,Andhra Pradesh,ANANTAPUR,Rabi       ,low,6.25,90,15,Hot-dry,Onion,297,6767,1,0.6,1,1,1,1,562
4035,4035,Andhra Pradesh,CHITTOOR,Whole Year ,low,6.25,90,15,Warm-humid,Onion,548,8149,1,0.6,1,1,1,1,562
4051,4051,Andhra Pradesh,CHITTOOR,Kharif     ,low,6.25,90,15,Warm-humid,Onion,286,3991,1,0.6,1,1,1,1,562
4069,4069,Andhra Pradesh,CHITTOOR,Rabi       ,low,6.25,90,15,Warm-humid,Onion,230,5494,1,0.6,1,1,1,1,562
4101,4101,Andhra Pradesh,CHITTOOR,Kharif     ,low,6.25,90,15,Warm-humid,Onion,248,3441,1,0.6,1,1,1,1,562
4118,4118,Andhra Pradesh,CHITTOOR,Rabi       ,low,6.25,90,15,Warm-humid,Onion,304,6772,1,0.6,1,1,1,1,562
4143,4143,Andhra Pradesh,CHITTOOR,Kharif     ,low,6.25,90,15,Warm-humid,Onion,205,2451,1,0.6,1,1,1,1,562
4161,4161,Andhra Pradesh,CHITTOOR,Rabi       ,low,6.25,90,15,Warm-humid,Onion,266,4753,1,0.6,1,1,1,1,562
4204,4204,Andhra Pradesh,CHITTOOR,Kharif     ,low,6.25,90,15,Warm-humid,Onion,253,3691,1,0.6,1,1,1,1,562
4222,4222,Andhra Pradesh,CHITTOOR,Rabi       ,low,6.25,90,15,Warm-humid,Onion,265,5538,1,0.6,1,1,1,1,562
4263,4263,Andhra Pradesh,CHITTOOR,Kharif     ,low,6.25,90,15,Warm-humid,Onion,250,4242,1,0.6,1,1,1,1,562
4280,4280,Andhra Pradesh,CHITTOOR,Rabi       ,low,6.25,90,15,Warm-humid,Onion,351,7244,1,0.6,1,1,1,1,562
4308,4308,Andhra Pradesh,CHITTOOR,Kharif     ,low,6.25,90,15,Warm-humid,Onion,254,4762,1,0.6,1,1,1,1,562
4323,4323,Andhra Pradesh,CHITTOOR,Rabi       ,low,6.25,90,15,Warm-humid,Onion,253,6018,1,0.6,1,1,1,1,562
4349,4349,Andhra Pradesh,CHITTOOR,Kharif     ,low,6.25,90,15,Warm-humid,Onion,206,3454,1,0.6,1,1,1,1,562
4365,4365,Andhra Pradesh,CHITTOOR,Rabi       ,low,6.25,90,15,Warm-humid,Onion,189,4612,1,0.6,1,1,1,1,562
4413,4413,Andhra Pradesh,CHITTOOR,Kharif     ,low,6.25,90,15,Warm-humid,Onion,289,4856,1,0.6,1,1,1,1,562
