Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours,Rainfall,Yield
1770,32364,1,0.6,1,1,1,1,562,1094,18284.74576
1103,15470,1,0.6,1,1,1,1,562,1094,14025.38531
482,11514,1,0.6,1,1,1,1,562,1094,23887.9668
1165,19232,1,0.6,1,1,1,1,562,1094,16508.15451
380,8465,1,0.6,1,1,1,1,562,1094,22276.31579
776,8432,1,0.6,1,1,1,1,562,1094,10865.97938
401,7192,1,0.6,1,1,1,1,562,1094,17935.16209
846,13250,1,0.6,1,1,1,1,562,1094,15661.93853
535,11180,1,0.6,1,1,1,1,562,1094,20897.19626
1324,24824,1,0.6,1,1,1,1,562,1094,18749.24471
234,4830,1,0.6,1,1,1,1,562,1094,20641.02564
985,17025,1,0.6,1,1,1,1,562,1094,17284.26396
381,9063,1,0.6,1,1,1,1,562,1094,23787.40157
869,9423,1,0.6,1,1,1,1,562,1094,10843.49827
167,4075,1,0.6,1,1,1,1,562,1094,24401.1976
2000,38000,1,0.6,1,1,1,1,562,1094,19000
1376,23531,1,0.6,1,1,1,1,562,1094,17101.01744
173,4129,1,0.6,1,1,1,1,562,1094,23867.05202
1663,29811,1,0.6,1,1,1,1,562,1094,17926.03728
230,5665,1,0.6,1,1,1,1,562,1094,24630.43478
1620,26924,1,0.6,1,1,1,1,562,1094,16619.75309
306,8233,1,0.6,1,1,1,1,562,1094,26905.22876
2757,39563,1,0.6,1,1,1,1,562,1094,14350.01814
208,4259,1,0.6,1,1,1,1,562,1094,20475.96154
1548,25393,1,0.6,1,1,1,1,562,1094,16403.74677
84,1195,1,0.6,1,1,1,1,562,1094,14226.19048
1414,31097,1,0.6,1,1,1,1,562,1094,21992.22065
611,14317,1,0.6,1,1,1,1,562,1094,23432.07856
1969,35214,1,0.6,1,1,1,1,562,1094,17884.20518
297,6767,1,0.6,1,1,1,1,562,1094,22784.51178
548,8149,1,0.6,1,1,1,1,562,1094,14870.43796
286,3991,1,0.6,1,1,1,1,562,1094,13954.54545
230,5494,1,0.6,1,1,1,1,562,1094,23886.95652
248,3441,1,0.6,1,1,1,1,562,1094,13875
304,6772,1,0.6,1,1,1,1,562,1094,22276.31579
205,2451,1,0.6,1,1,1,1,562,1094,11956.09756
266,4753,1,0.6,1,1,1,1,562,1094,17868.42105
253,3691,1,0.6,1,1,1,1,562,1094,14588.93281
265,5538,1,0.6,1,1,1,1,562,1094,20898.11321
250,4242,1,0.6,1,1,1,1,562,1094,16968
351,7244,1,0.6,1,1,1,1,562,1094,20638.17664
254,4762,1,0.6,1,1,1,1,562,1094,18748.0315
253,6018,1,0.6,1,1,1,1,562,1094,23786.56126
206,3454,1,0.6,1,1,1,1,562,1094,16766.99029
189,4612,1,0.6,1,1,1,1,562,1094,24402.1164
289,4856,1,0.6,1,1,1,1,562,1094,16802.76817
171,4081,1,0.6,1,1,1,1,562,1094,23865.49708
197,3190,1,0.6,1,1,1,1,562,1094,16192.8934
163,4015,1,0.6,1,1,1,1,562,1094,24631.90184
178,3535,1,0.6,1,1,1,1,562,1094,19859.55056
196,5274,1,0.6,1,1,1,1,562,1094,26908.16327
180,2594,1,0.6,1,1,1,1,562,1094,14411.11111
196,4013,1,0.6,1,1,1,1,562,1094,20474.4898
153,2921,1,0.6,1,1,1,1,562,1094,19091.50327
193,2745,1,0.6,1,1,1,1,562,1094,14222.79793
170,3201,1,0.6,1,1,1,1,562,1094,18829.41176
253,5928,1,0.6,1,1,1,1,562,1094,23430.83004
242,4443,1,0.6,1,1,1,1,562,1094,18359.50413
199,4534,1,0.6,1,1,1,1,562,1094,22783.9196
252,4118,1,0.6,1,1,1,1,562,1094,16341.26984
42,586,1,0.6,1,1,1,1,562,1094,13952.38095
133,2338,1,0.6,1,1,1,1,562,1094,17578.94737
122,1693,1,0.6,1,1,1,1,562,1094,13877.04918
147,2325,1,0.6,1,1,1,1,562,1094,15816.32653
132,1578,1,0.6,1,1,1,1,562,1094,11954.54545
140,1763,1,0.6,1,1,1,1,562,1094,12592.85714
279,4070,1,0.6,1,1,1,1,562,1094,14587.81362
24,264,1,0.6,1,1,1,1,562,1094,11000
129,2189,1,0.6,1,1,1,1,562,1094,16968.99225
79,1384,1,0.6,1,1,1,1,562,1094,17518.98734
296,5550,1,0.6,1,1,1,1,562,1094,18750
74,1465,1,0.6,1,1,1,1,562,1094,19797.2973
457,7663,1,0.6,1,1,1,1,562,1094,16768.05252
85,1014,1,0.6,1,1,1,1,562,1094,11929.41176
1000,14000,1,0.6,1,1,1,1,562,1094,14000
915,15376,1,0.6,1,1,1,1,562,1094,16804.37158
16,154,1,0.6,1,1,1,1,562,1094,9625
501,8113,1,0.6,1,1,1,1,562,1094,16193.61277
26,660,1,0.6,1,1,1,1,562,1094,25384.61538
759,15073,1,0.6,1,1,1,1,562,1094,19859.02503
9,118,1,0.6,1,1,1,1,562,1094,13111.11111
808,11645,1,0.6,1,1,1,1,562,1094,14412.12871
38,973,1,0.6,1,1,1,1,562,1094,25605.26316
547,10443,1,0.6,1,1,1,1,562,1094,19091.40768
15,330,1,0.6,1,1,1,1,562,1094,22000
595,11204,1,0.6,1,1,1,1,562,1094,18830.2521
14,259,1,0.6,1,1,1,1,562,1094,18500
563,10337,1,0.6,1,1,1,1,562,1094,18360.56838
15,265,1,0.6,1,1,1,1,562,1094,17666.66667
1593,23110,1,0.6,1,1,1,1,562,1094,14507.21908
376,5247,1,0.6,1,1,1,1,562,1094,13954.78723
816,14792,1,0.6,1,1,1,1,562,1094,18127.45098
693,9615,1,0.6,1,1,1,1,562,1094,13874.45887
883,11504,1,0.6,1,1,1,1,562,1094,13028.31257
806,9635,1,0.6,1,1,1,1,562,1094,11954.09429
737,13565,1,0.6,1,1,1,1,562,1094,18405.69878
439,6404,1,0.6,1,1,1,1,562,1094,14587.69932
428,3364,1,0.6,1,1,1,1,562,1094,7859.813084
845,14336,1,0.6,1,1,1,1,562,1094,16965.68047
394,5344,1,0.6,1,1,1,1,562,1094,13563.45178
1327,24880,1,0.6,1,1,1,1,562,1094,18749.05803
372,5986,1,0.6,1,1,1,1,562,1094,16091.39785
598,10027,1,0.6,1,1,1,1,562,1094,16767.55853
566,7493,1,0.6,1,1,1,1,562,1094,13238.5159
1000,18000,1,0.6,1,1,1,1,562,1094,18000
639,10738,1,0.6,1,1,1,1,562,1094,16804.38185
84,1682,1,0.6,1,1,1,1,562,1094,20023.80952
723,11708,1,0.6,1,1,1,1,562,1094,16193.63762
40,1068,1,0.6,1,1,1,1,562,1094,26700
619,12293,1,0.6,1,1,1,1,562,1094,19859.45073
268,1323,1,0.6,1,1,1,1,562,1094,4936.567164
959,13821,1,0.6,1,1,1,1,562,1094,14411.88738
679,12963,1,0.6,1,1,1,1,562,1094,19091.31075
11,101,1,0.6,1,1,1,1,562,1094,9181.818182
630,11864,1,0.6,1,1,1,1,562,1094,18831.74603
19,352,1,0.6,1,1,1,1,562,1094,18526.31579
408,7491,1,0.6,1,1,1,1,562,1094,18360.29412
40,707,1,0.6,1,1,1,1,562,1094,17675
4618,41792,1,0.6,1,1,1,1,562,1094,9049.80511
2502,27610,1,0.6,1,1,1,1,562,1094,11035.17186
483,13965,1,0.6,1,1,1,1,562,1094,28913.04348
2317,15902,1,0.6,1,1,1,1,562,1094,6863.185153
637,9701,1,0.6,1,1,1,1,562,1094,15229.19937
1828,17722,1,0.6,1,1,1,1,562,1094,9694.748359
561,7735,1,0.6,1,1,1,1,562,1094,13787.87879
2138,17805,1,0.6,1,1,1,1,562,1094,8327.87652
524,8765,1,0.6,1,1,1,1,562,1094,16727.09924
1851,17286,1,0.6,1,1,1,1,562,1094,9338.735818
574,13588,1,0.6,1,1,1,1,562,1094,23672.47387
1775,9003,1,0.6,1,1,1,1,562,1094,5072.112676
653,15745,1,0.6,1,1,1,1,562,1094,24111.79173
