,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
1,"frozenset({'(-1, 100]_a'})","frozenset({'(400, 500]_r'})",0.5103871576959396,1.0,0.5103871576959396,1.0,1.0,0.0,inf
3,"frozenset({'(-1, 100]_a'})","frozenset({'(0.8, 1.0]_fert'})",0.5103871576959396,1.0,0.5103871576959396,1.0,1.0,0.0,inf
4,"frozenset({'(300, 500]_l'})","frozenset({'(400, 500]_r'})",0.8196411709159585,1.0,0.8196411709159585,1.0,1.0,0.0,inf
8,"frozenset({'(300, 500]_l'})","frozenset({'(0.8, 1.0]_fert'})",0.8196411709159585,1.0,0.8196411709159585,1.0,1.0,0.0,inf
11,"frozenset({'(-1, 12000]_y'})","frozenset({'(400, 500]_r'})",0.46411709159584513,1.0,0.46411709159584513,1.0,1.0,0.0,inf
12,"frozenset({'(12000, 30000]_y'})","frozenset({'(400, 500]_r'})",0.5354107648725213,1.0,0.5354107648725213,1.0,1.0,0.0,inf
14,"frozenset({'(400, 500]_r'})","frozenset({'(0.8, 1.0]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
15,"frozenset({'(0.8, 1.0]_fert'})","frozenset({'(400, 500]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
17,"frozenset({'(-1, 12000]_y'})","frozenset({'(0.8, 1.0]_fert'})",0.46411709159584513,1.0,0.46411709159584513,1.0,1.0,0.0,inf
18,"frozenset({'(12000, 30000]_y'})","frozenset({'(0.8, 1.0]_fert'})",0.5354107648725213,1.0,0.5354107648725213,1.0,1.0,0.0,inf
21,"frozenset({'(400, 500]_r', '(-1, 100]_a'})","frozenset({'(0.8, 1.0]_fert'})",0.5103871576959396,1.0,0.5103871576959396,1.0,1.0,0.0,inf
22,"frozenset({'(0.8, 1.0]_fert', '(-1, 100]_a'})","frozenset({'(400, 500]_r'})",0.5103871576959396,1.0,0.5103871576959396,1.0,1.0,0.0,inf
25,"frozenset({'(-1, 100]_a'})","frozenset({'(400, 500]_r', '(0.8, 1.0]_fert'})",0.5103871576959396,1.0,0.5103871576959396,1.0,1.0,0.0,inf
26,"frozenset({'(300, 500]_l', '(12000, 30000]_y'})","frozenset({'(400, 500]_r'})",0.52219074598678,1.0,0.52219074598678,1.0,1.0,0.0,inf
32,"frozenset({'(300, 500]_l', '(400, 500]_r'})","frozenset({'(0.8, 1.0]_fert'})",0.8196411709159585,1.0,0.8196411709159585,1.0,1.0,0.0,inf
33,"frozenset({'(300, 500]_l', '(0.8, 1.0]_fert'})","frozenset({'(400, 500]_r'})",0.8196411709159585,1.0,0.8196411709159585,1.0,1.0,0.0,inf
35,"frozenset({'(300, 500]_l'})","frozenset({'(400, 500]_r', '(0.8, 1.0]_fert'})",0.8196411709159585,1.0,0.8196411709159585,1.0,1.0,0.0,inf
38,"frozenset({'(300, 500]_l', '(12000, 30000]_y'})","frozenset({'(0.8, 1.0]_fert'})",0.52219074598678,1.0,0.52219074598678,1.0,1.0,0.0,inf
45,"frozenset({'(400, 500]_r', '(-1, 12000]_y'})","frozenset({'(0.8, 1.0]_fert'})",0.46411709159584513,1.0,0.46411709159584513,1.0,1.0,0.0,inf
