,S_No,State_Name,District_Name,Season,Irrigation,pH,Moisture,Soil_Temp,Climate,Crop_Name,Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours
3,3,Punjab,AMRITSAR,Kharif     ,high,6,60,4,Hot-dry,Rice,292000,879000,0.19,1,1,0.46,1,1,419.7
17,17,Punjab,AMRITSAR,Kharif     ,high,6,60,4,Hot-dry,Rice,305000,878000,0.19,1,1,0.46,1,1,419.7
30,30,Punjab,AMRITSAR,Kharif     ,high,6,60,4,Hot-dry,Rice,319000,991000,0.19,1,1,0.46,1,1,419.7
43,43,Punjab,AMRITSAR,Kharif     ,high,6,60,4,Hot-dry,Rice,319000,972000,0.19,1,1,0.46,1,1,419.7
54,54,Punjab,AMRITSAR,Kharif     ,high,6,60,4,Hot-dry,Rice,319000,958000,0.19,1,1,0.46,1,1,419.7
65,65,Punjab,AMRITSAR,Kharif     ,high,6,60,4,Hot-dry,Rice,311000,879000,0.19,1,1,0.46,1,1,419.7
77,77,Punjab,AMRITSAR,Kharif     ,high,6,60,4,Hot-dry,Rice,326000,872000,0.19,1,1,0.46,1,1,419.7
90,90,Punjab,AMRITSAR,Kharif     ,high,6,60,4,Hot-dry,Rice,334000,1034000,0.19,1,1,0.46,1,1,419.7
102,102,Punjab,AMRITSAR,Kharif     ,high,6,60,4,Hot-dry,Rice,345000,1003000,0.19,1,1,0.46,1,1,419.7
112,112,Punjab,AMRITSAR,Kharif     ,high,6,60,4,Hot-dry,Rice,178000,538000,0.19,1,1,0.46,1,1,419.7
121,121,Punjab,AMRITSAR,Kharif     ,high,6,60,4,Hot-dry,Rice,178000,546000,0.19,1,1,0.46,1,1,419.7
131,131,Punjab,AMRITSAR,Kharif     ,high,6,60,4,Hot-dry,Rice,183000,532000,0.19,1,1,0.46,1,1,419.7
139,139,Punjab,AMRITSAR,Kharif     ,high,6,60,4,Hot-dry,Rice,185000,501000,0.19,1,1,0.46,1,1,419.7
148,148,Punjab,AMRITSAR,Kharif     ,high,6,60,4,Hot-dry,Rice,186000,503000,0.19,1,1,0.46,1,1,419.7
157,157,Punjab,AMRITSAR,Kharif     ,high,6,60,4,Hot-dry,Rice,184000,482000,0.19,1,1,0.46,1,1,419.7
165,165,Punjab,AMRITSAR,Kharif     ,high,6,60,4,Hot-dry,Rice,185000,544000,0.19,1,1,0.46,1,1,419.7
