Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours,Rainfall,Yield
292000,879000,0.19,1,1,0.46,1,1,419.7,649,3010.273973
305000,878000,0.19,1,1,0.46,1,1,419.7,649,2878.688525
319000,991000,0.19,1,1,0.46,1,1,419.7,649,3106.583072
319000,972000,0.19,1,1,0.46,1,1,419.7,649,3047.021944
319000,958000,0.19,1,1,0.46,1,1,419.7,649,3003.134796
311000,879000,0.19,1,1,0.46,1,1,419.7,649,2826.366559
326000,872000,0.19,1,1,0.46,1,1,419.7,649,2674.846626
334000,1034000,0.19,1,1,0.46,1,1,419.7,649,3095.808383
345000,1003000,0.19,1,1,0.46,1,1,419.7,649,2907.246377
178000,538000,0.19,1,1,0.46,1,1,419.7,649,3022.47191
178000,546000,0.19,1,1,0.46,1,1,419.7,649,3067.41573
183000,532000,0.19,1,1,0.46,1,1,419.7,649,2907.103825
185000,501000,0.19,1,1,0.46,1,1,419.7,649,2708.108108
186000,503000,0.19,1,1,0.46,1,1,419.7,649,2704.301075
184000,482000,0.19,1,1,0.46,1,1,419.7,649,2619.565217
185000,544000,0.19,1,1,0.46,1,1,419.7,649,2940.540541
182000,518000,0.19,1,1,0.46,1,1,419.7,649,2846.153846
182000,505000,0.19,1,1,0.46,1,1,419.7,649,2774.725275
99000,466000,0.19,1,1,0.46,1,1,419.7,649,4707.070707
102000,485000,0.19,1,1,0.46,1,1,419.7,649,4754.901961
104000,496000,0.19,1,1,0.46,1,1,419.7,649,4769.230769
105000,465000,0.19,1,1,0.46,1,1,419.7,649,4428.571429
105000,459000,0.19,1,1,0.46,1,1,419.7,649,4371.428571
106000,490000,0.19,1,1,0.46,1,1,419.7,649,4622.641509
107000,500000,0.19,1,1,0.46,1,1,419.7,649,4672.897196
108000,507000,0.19,1,1,0.46,1,1,419.7,649,4694.444444
53000,212000,0.19,1,1,0.46,1,1,419.7,649,4000
84000,287000,0.19,1,1,0.46,1,1,419.7,649,3416.666667
99000,392000,0.19,1,1,0.46,1,1,419.7,649,3959.59596
99000,350000,0.19,1,1,0.46,1,1,419.7,649,3535.353535
82000,307000,0.19,1,1,0.46,1,1,419.7,649,3743.902439
107000,367000,0.19,1,1,0.46,1,1,419.7,649,3429.906542
105000,419000,0.19,1,1,0.46,1,1,419.7,649,3990.47619
102000,415000,0.19,1,1,0.46,1,1,419.7,649,4068.627451
95000,385000,0.19,1,1,0.46,1,1,419.7,649,4052.631579
87000,358000,0.19,1,1,0.46,1,1,419.7,649,4114.942529
86000,368000,0.19,1,1,0.46,1,1,419.7,649,4279.069767
97000,427000,0.19,1,1,0.46,1,1,419.7,649,4402.061856
104000,476000,0.19,1,1,0.46,1,1,419.7,649,4576.923077
107000,437000,0.19,1,1,0.46,1,1,419.7,649,4084.11215
101000,409000,0.19,1,1,0.46,1,1,419.7,649,4049.50495
107000,458000,0.19,1,1,0.46,1,1,419.7,649,4280.373832
111000,501000,0.19,1,1,0.46,1,1,419.7,649,4513.513514
119000,529000,0.19,1,1,0.46,1,1,419.7,649,4445.378151
56000,214000,0.19,1,1,0.46,1,1,419.7,649,3821.428571
82000,246000,0.19,1,1,0.46,1,1,419.7,649,3000
90000,305000,0.19,1,1,0.46,1,1,419.7,649,3388.888889
90000,310000,0.19,1,1,0.46,1,1,419.7,649,3444.444444
70000,267000,0.19,1,1,0.46,1,1,419.7,649,3814.285714
86000,280000,0.19,1,1,0.46,1,1,419.7,649,3255.813953
84000,308000,0.19,1,1,0.46,1,1,419.7,649,3666.666667
88000,337000,0.19,1,1,0.46,1,1,419.7,649,3829.545455
86000,339000,0.19,1,1,0.46,1,1,419.7,649,3941.860465
85000,338000,0.19,1,1,0.46,1,1,419.7,649,3976.470588
87000,351000,0.19,1,1,0.46,1,1,419.7,649,4034.482759
95000,414000,0.19,1,1,0.46,1,1,419.7,649,4357.894737
98000,414000,0.19,1,1,0.46,1,1,419.7,649,4224.489796
101000,409000,0.19,1,1,0.46,1,1,419.7,649,4049.50495
101000,405000,0.19,1,1,0.46,1,1,419.7,649,4009.90099
102000,444000,0.19,1,1,0.46,1,1,419.7,649,4352.941176
104000,443000,0.19,1,1,0.46,1,1,419.7,649,4259.615385
106000,421000,0.19,1,1,0.46,1,1,419.7,649,3971.698113
82000,302000,0.19,1,1,0.46,1,1,419.7,649,3682.926829
83000,271000,0.19,1,1,0.46,1,1,419.7,649,3265.060241
82000,302000,0.19,1,1,0.46,1,1,419.7,649,3682.926829
84000,350000,0.19,1,1,0.46,1,1,419.7,649,4166.666667
81000,324000,0.19,1,1,0.46,1,1,419.7,649,4000
80000,312000,0.19,1,1,0.46,1,1,419.7,649,3900
83000,364000,0.19,1,1,0.46,1,1,419.7,649,4385.542169
85000,371000,0.19,1,1,0.46,1,1,419.7,649,4364.705882
85000,361000,0.19,1,1,0.46,1,1,419.7,649,4247.058824
84000,340000,0.19,1,1,0.46,1,1,419.7,649,4047.619048
84000,383000,0.19,1,1,0.46,1,1,419.7,649,4559.52381
85000,363000,0.19,1,1,0.46,1,1,419.7,649,4270.588235
86000,391000,0.19,1,1,0.46,1,1,419.7,649,4546.511628
