,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({'(-1, 100]_a'})","frozenset({'(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
1,"frozenset({'(300, 500]_l'})","frozenset({'(-1, 100]_a'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
2,"frozenset({'(-1, 100]_a'})","frozenset({'(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
3,"frozenset({'(500, 800]_r'})","frozenset({'(-1, 100]_a'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
4,"frozenset({'(30000, 2250000]_y'})","frozenset({'(-1, 100]_a'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
5,"frozenset({'(-1, 100]_a'})","frozenset({'(30000, 2250000]_y'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
6,"frozenset({'(-1, 100]_a'})","frozenset({'(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
7,"frozenset({'(0.6, 0.8]_fert'})","frozenset({'(-1, 100]_a'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
8,"frozenset({'(500, 800]_r'})","frozenset({'(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
9,"frozenset({'(300, 500]_l'})","frozenset({'(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
10,"frozenset({'(30000, 2250000]_y'})","frozenset({'(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
11,"frozenset({'(300, 500]_l'})","frozenset({'(30000, 2250000]_y'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
12,"frozenset({'(300, 500]_l'})","frozenset({'(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
13,"frozenset({'(0.6, 0.8]_fert'})","frozenset({'(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
14,"frozenset({'(30000, 2250000]_y'})","frozenset({'(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
15,"frozenset({'(500, 800]_r'})","frozenset({'(30000, 2250000]_y'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
16,"frozenset({'(500, 800]_r'})","frozenset({'(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
17,"frozenset({'(0.6, 0.8]_fert'})","frozenset({'(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
18,"frozenset({'(30000, 2250000]_y'})","frozenset({'(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
19,"frozenset({'(0.6, 0.8]_fert'})","frozenset({'(30000, 2250000]_y'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
20,"frozenset({'(-1, 100]_a', '(500, 800]_r'})","frozenset({'(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
21,"frozenset({'(-1, 100]_a', '(300, 500]_l'})","frozenset({'(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
22,"frozenset({'(500, 800]_r', '(300, 500]_l'})","frozenset({'(-1, 100]_a'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
23,"frozenset({'(-1, 100]_a'})","frozenset({'(500, 800]_r', '(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
24,"frozenset({'(500, 800]_r'})","frozenset({'(-1, 100]_a', '(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
25,"frozenset({'(300, 500]_l'})","frozenset({'(-1, 100]_a', '(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
26,"frozenset({'(30000, 2250000]_y', '(-1, 100]_a'})","frozenset({'(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
27,"frozenset({'(30000, 2250000]_y', '(300, 500]_l'})","frozenset({'(-1, 100]_a'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
28,"frozenset({'(-1, 100]_a', '(300, 500]_l'})","frozenset({'(30000, 2250000]_y'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
29,"frozenset({'(30000, 2250000]_y'})","frozenset({'(-1, 100]_a', '(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
30,"frozenset({'(-1, 100]_a'})","frozenset({'(30000, 2250000]_y', '(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
31,"frozenset({'(300, 500]_l'})","frozenset({'(30000, 2250000]_y', '(-1, 100]_a'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
32,"frozenset({'(-1, 100]_a', '(300, 500]_l'})","frozenset({'(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
33,"frozenset({'(-1, 100]_a', '(0.6, 0.8]_fert'})","frozenset({'(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
34,"frozenset({'(300, 500]_l', '(0.6, 0.8]_fert'})","frozenset({'(-1, 100]_a'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
35,"frozenset({'(-1, 100]_a'})","frozenset({'(300, 500]_l', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
36,"frozenset({'(300, 500]_l'})","frozenset({'(-1, 100]_a', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
37,"frozenset({'(0.6, 0.8]_fert'})","frozenset({'(-1, 100]_a', '(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
38,"frozenset({'(30000, 2250000]_y', '(-1, 100]_a'})","frozenset({'(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
39,"frozenset({'(30000, 2250000]_y', '(500, 800]_r'})","frozenset({'(-1, 100]_a'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
40,"frozenset({'(-1, 100]_a', '(500, 800]_r'})","frozenset({'(30000, 2250000]_y'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
41,"frozenset({'(30000, 2250000]_y'})","frozenset({'(-1, 100]_a', '(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
42,"frozenset({'(-1, 100]_a'})","frozenset({'(30000, 2250000]_y', '(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
43,"frozenset({'(500, 800]_r'})","frozenset({'(30000, 2250000]_y', '(-1, 100]_a'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
44,"frozenset({'(-1, 100]_a', '(500, 800]_r'})","frozenset({'(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
45,"frozenset({'(-1, 100]_a', '(0.6, 0.8]_fert'})","frozenset({'(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
46,"frozenset({'(500, 800]_r', '(0.6, 0.8]_fert'})","frozenset({'(-1, 100]_a'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
47,"frozenset({'(-1, 100]_a'})","frozenset({'(500, 800]_r', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
48,"frozenset({'(500, 800]_r'})","frozenset({'(-1, 100]_a', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
49,"frozenset({'(0.6, 0.8]_fert'})","frozenset({'(-1, 100]_a', '(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
50,"frozenset({'(30000, 2250000]_y', '(-1, 100]_a'})","frozenset({'(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
51,"frozenset({'(30000, 2250000]_y', '(0.6, 0.8]_fert'})","frozenset({'(-1, 100]_a'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
52,"frozenset({'(-1, 100]_a', '(0.6, 0.8]_fert'})","frozenset({'(30000, 2250000]_y'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
53,"frozenset({'(30000, 2250000]_y'})","frozenset({'(-1, 100]_a', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
54,"frozenset({'(-1, 100]_a'})","frozenset({'(30000, 2250000]_y', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
55,"frozenset({'(0.6, 0.8]_fert'})","frozenset({'(30000, 2250000]_y', '(-1, 100]_a'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
56,"frozenset({'(30000, 2250000]_y', '(500, 800]_r'})","frozenset({'(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
57,"frozenset({'(30000, 2250000]_y', '(300, 500]_l'})","frozenset({'(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
58,"frozenset({'(500, 800]_r', '(300, 500]_l'})","frozenset({'(30000, 2250000]_y'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
59,"frozenset({'(30000, 2250000]_y'})","frozenset({'(500, 800]_r', '(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
60,"frozenset({'(500, 800]_r'})","frozenset({'(30000, 2250000]_y', '(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
61,"frozenset({'(300, 500]_l'})","frozenset({'(30000, 2250000]_y', '(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
62,"frozenset({'(500, 800]_r', '(300, 500]_l'})","frozenset({'(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
63,"frozenset({'(500, 800]_r', '(0.6, 0.8]_fert'})","frozenset({'(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
64,"frozenset({'(300, 500]_l', '(0.6, 0.8]_fert'})","frozenset({'(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
65,"frozenset({'(500, 800]_r'})","frozenset({'(300, 500]_l', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
66,"frozenset({'(300, 500]_l'})","frozenset({'(500, 800]_r', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
67,"frozenset({'(0.6, 0.8]_fert'})","frozenset({'(500, 800]_r', '(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
68,"frozenset({'(30000, 2250000]_y', '(300, 500]_l'})","frozenset({'(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
69,"frozenset({'(30000, 2250000]_y', '(0.6, 0.8]_fert'})","frozenset({'(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
70,"frozenset({'(300, 500]_l', '(0.6, 0.8]_fert'})","frozenset({'(30000, 2250000]_y'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
71,"frozenset({'(30000, 2250000]_y'})","frozenset({'(300, 500]_l', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
