,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
15,"frozenset({'(0.0, 0.7]_fert'})","frozenset({'(-1, 500]_r'})",0.5320343461030383,0.630449141347424,0.5320343461030383,1.0,1.5861707700366685,0.19661374943503962,inf
32,"frozenset({'(850, 1000]_l', '(0.0, 0.7]_fert'})","frozenset({'(-1, 500]_r'})",0.5320343461030383,0.630449141347424,0.5320343461030383,1.0,1.5861707700366685,0.19661374943503962,inf
35,"frozenset({'(0.0, 0.7]_fert'})","frozenset({'(-1, 500]_r', '(850, 1000]_l'})",0.5320343461030383,0.630449141347424,0.5320343461030383,1.0,1.5861707700366685,0.19661374943503962,inf
43,"frozenset({'(2000, 3000]_y', '(0.0, 0.7]_fert'})","frozenset({'(-1, 500]_r'})",0.3190224570673712,0.630449141347424,0.3190224570673712,1.0,1.5861707700366685,0.11789502293870158,inf
50,"frozenset({'(2000, 3000]_y', '(850, 1000]_l', '(0.0, 0.7]_fert'})","frozenset({'(-1, 500]_r'})",0.3190224570673712,0.630449141347424,0.3190224570673712,1.0,1.5861707700366685,0.11789502293870158,inf
54,"frozenset({'(2000, 3000]_y', '(0.0, 0.7]_fert'})","frozenset({'(-1, 500]_r', '(850, 1000]_l'})",0.3190224570673712,0.630449141347424,0.3190224570673712,1.0,1.5861707700366685,0.11789502293870158,inf
4,"frozenset({'(-1, 500]_r'})","frozenset({'(850, 1000]_l'})",0.630449141347424,0.7295244385733157,0.630449141347424,1.0,1.3707559981892259,0.17052108545691552,inf
11,"frozenset({'(0.0, 0.7]_fert'})","frozenset({'(850, 1000]_l'})",0.5320343461030383,0.7295244385733157,0.5320343461030383,1.0,1.3707559981892259,0.14390228846049813,inf
18,"frozenset({'(-1, 59963]_a', '(-1, 500]_r'})","frozenset({'(850, 1000]_l'})",0.39531043593130777,0.7295244385733157,0.39531043593130777,1.0,1.3707559981892259,0.10692181209634777,inf
25,"frozenset({'(-1, 500]_r', '(2000, 3000]_y'})","frozenset({'(850, 1000]_l'})",0.3319022457067371,0.7295244385733157,0.3319022457067371,1.0,1.3707559981892259,0.08977144624630704,inf
31,"frozenset({'(-1, 500]_r', '(0.0, 0.7]_fert'})","frozenset({'(850, 1000]_l'})",0.5320343461030383,0.7295244385733157,0.5320343461030383,1.0,1.3707559981892259,0.14390228846049813,inf
37,"frozenset({'(2000, 3000]_y', '(0.0, 0.7]_fert'})","frozenset({'(850, 1000]_l'})",0.3190224570673712,0.7295244385733157,0.3190224570673712,1.0,1.3707559981892259,0.0862877781830175,inf
49,"frozenset({'(2000, 3000]_y', '(-1, 500]_r', '(0.0, 0.7]_fert'})","frozenset({'(850, 1000]_l'})",0.3190224570673712,0.7295244385733157,0.3190224570673712,1.0,1.3707559981892259,0.0862877781830175,inf
44,"frozenset({'(-1, 500]_r', '(2000, 3000]_y'})","frozenset({'(0.0, 0.7]_fert'})",0.3319022457067371,0.5320343461030383,0.3190224570673712,0.9611940298507463,1.8066390579690004,0.14243906280265736,12.059114927344794
51,"frozenset({'(-1, 500]_r', '(850, 1000]_l', '(2000, 3000]_y'})","frozenset({'(0.0, 0.7]_fert'})",0.3319022457067371,0.5320343461030383,0.3190224570673712,0.9611940298507463,1.8066390579690004,0.14243906280265736,12.059114927344794
56,"frozenset({'(-1, 500]_r', '(2000, 3000]_y'})","frozenset({'(850, 1000]_l', '(0.0, 0.7]_fert'})",0.3319022457067371,0.5320343461030383,0.3190224570673712,0.9611940298507463,1.8066390579690004,0.14243906280265736,12.059114927344794
6,"frozenset({'(-1, 2000]_y'})","frozenset({'(850, 1000]_l'})",0.3236459709379128,0.7295244385733157,0.3028401585204756,0.9357142857142858,1.2826359697342045,0.06673251327547908,4.207397622192874
19,"frozenset({'(-1, 59963]_a', '(850, 1000]_l'})","frozenset({'(-1, 500]_r'})",0.4501321003963012,0.630449141347424,0.39531043593130777,0.8782098312545854,1.3929907642948585,0.11152503974354722,3.0343242189365105
5,"frozenset({'(850, 1000]_l'})","frozenset({'(-1, 500]_r'})",0.7295244385733157,0.630449141347424,0.630449141347424,0.8641919420552285,1.3707559981892259,0.17052108545691552,2.721126155878466
26,"frozenset({'(850, 1000]_l', '(2000, 3000]_y'})","frozenset({'(-1, 500]_r'})",0.3847424042272127,0.630449141347424,0.3319022457067371,0.8626609442060086,1.3683275741518042,0.08934172732174733,2.690792189564069
14,"frozenset({'(-1, 500]_r'})","frozenset({'(0.0, 0.7]_fert'})",0.630449141347424,0.5320343461030383,0.5320343461030383,0.8438973284442117,1.5861707700366685,0.19661374943503962,2.9978068231184576
30,"frozenset({'(-1, 500]_r', '(850, 1000]_l'})","frozenset({'(0.0, 0.7]_fert'})",0.630449141347424,0.5320343461030383,0.5320343461030383,0.8438973284442117,1.5861707700366685,0.19661374943503962,2.9978068231184576
33,"frozenset({'(-1, 500]_r'})","frozenset({'(850, 1000]_l', '(0.0, 0.7]_fert'})",0.630449141347424,0.5320343461030383,0.5320343461030383,0.8438973284442117,1.5861707700366685,0.19661374943503962,2.9978068231184576
38,"frozenset({'(850, 1000]_l', '(2000, 3000]_y'})","frozenset({'(0.0, 0.7]_fert'})",0.3847424042272127,0.5320343461030383,0.3190224570673712,0.8291845493562232,1.5585169555869918,0.11432628361623526,2.7395979235676404
57,"frozenset({'(850, 1000]_l', '(2000, 3000]_y'})","frozenset({'(-1, 500]_r', '(0.0, 0.7]_fert'})",0.3847424042272127,0.5320343461030383,0.3190224570673712,0.8291845493562232,1.5585169555869918,0.11432628361623526,2.7395979235676404
9,"frozenset({'(2000, 3000]_y'})","frozenset({'(850, 1000]_l'})",0.464663143989432,0.7295244385733157,0.3847424042272127,0.828002842928216,1.1349898634615836,0.04575928498261056,1.5725583261460525
0,"frozenset({'(-1, 59963]_a'})","frozenset({'(850, 1000]_l'})",0.547886393659181,0.7295244385733157,0.4501321003963012,0.8215792646172393,1.126184704961974,0.05043558666012854,1.515942420293477
10,"frozenset({'(850, 1000]_l'})","frozenset({'(0.0, 0.7]_fert'})",0.7295244385733157,0.5320343461030383,0.5320343461030383,0.7292892711634225,1.3707559981892259,0.14390228846049813,1.7286557348802485
34,"frozenset({'(850, 1000]_l'})","frozenset({'(-1, 500]_r', '(0.0, 0.7]_fert'})",0.7295244385733157,0.5320343461030383,0.5320343461030383,0.7292892711634225,1.3707559981892259,0.14390228846049813,1.7286557348802485
2,"frozenset({'(-1, 59963]_a'})","frozenset({'(-1, 500]_r'})",0.547886393659181,0.630449141347424,0.39531043593130777,0.7215189873417721,1.144452327747976,0.04989592949294036,1.3270235378887953
21,"frozenset({'(-1, 59963]_a'})","frozenset({'(-1, 500]_r', '(850, 1000]_l'})",0.547886393659181,0.630449141347424,0.39531043593130777,0.7215189873417721,1.144452327747976,0.04989592949294036,1.3270235378887953
13,"frozenset({'(2000, 3000]_y'})","frozenset({'(-1, 500]_r'})",0.464663143989432,0.630449141347424,0.3319022457067371,0.7142857142857142,1.132979121454763,0.03895576556280528,1.2934280052840155
29,"frozenset({'(2000, 3000]_y'})","frozenset({'(-1, 500]_r', '(850, 1000]_l'})",0.464663143989432,0.630449141347424,0.3319022457067371,0.7142857142857142,1.132979121454763,0.03895576556280528,1.2934280052840155
17,"frozenset({'(2000, 3000]_y'})","frozenset({'(0.0, 0.7]_fert'})",0.464663143989432,0.5320343461030383,0.3190224570673712,0.6865671641791045,1.2904564699778573,0.07180570509677181,1.4930332767188776
41,"frozenset({'(2000, 3000]_y'})","frozenset({'(850, 1000]_l', '(0.0, 0.7]_fert'})",0.464663143989432,0.5320343461030383,0.3190224570673712,0.6865671641791045,1.2904564699778573,0.07180570509677181,1.4930332767188776
47,"frozenset({'(2000, 3000]_y'})","frozenset({'(-1, 500]_r', '(0.0, 0.7]_fert'})",0.464663143989432,0.5320343461030383,0.3190224570673712,0.6865671641791045,1.2904564699778573,0.07180570509677181,1.4930332767188776
61,"frozenset({'(2000, 3000]_y'})","frozenset({'(-1, 500]_r', '(850, 1000]_l', '(0.0, 0.7]_fert'})",0.464663143989432,0.5320343461030383,0.3190224570673712,0.6865671641791045,1.2904564699778573,0.07180570509677181,1.4930332767188776
22,"frozenset({'(-1, 500]_r'})","frozenset({'(-1, 59963]_a', '(850, 1000]_l'})",0.630449141347424,0.4501321003963012,0.39531043593130777,0.6270298585646935,1.3929907642948582,0.11152503974354722,1.4742946914936248
3,"frozenset({'(-1, 500]_r'})","frozenset({'(-1, 59963]_a'})",0.630449141347424,0.547886393659181,0.39531043593130777,0.6270298585646935,1.1444523277479757,0.04989592949294036,1.2121978574503136
20,"frozenset({'(-1, 500]_r', '(850, 1000]_l'})","frozenset({'(-1, 59963]_a'})",0.630449141347424,0.547886393659181,0.39531043593130777,0.6270298585646935,1.1444523277479757,0.04989592949294036,1.2121978574503136
1,"frozenset({'(850, 1000]_l'})","frozenset({'(-1, 59963]_a'})",0.7295244385733157,0.547886393659181,0.4501321003963012,0.6170212765957447,1.126184704961974,0.05043558666012854,1.1805188610010273
45,"frozenset({'(0.0, 0.7]_fert'})","frozenset({'(-1, 500]_r', '(2000, 3000]_y'})",0.5320343461030383,0.3319022457067371,0.3190224570673712,0.5996275605214152,1.8066390579690004,0.14243906280265736,1.6686906700254982
53,"frozenset({'(850, 1000]_l', '(0.0, 0.7]_fert'})","frozenset({'(-1, 500]_r', '(2000, 3000]_y'})",0.5320343461030383,0.3319022457067371,0.3190224570673712,0.5996275605214152,1.8066390579690004,0.14243906280265736,1.6686906700254982
58,"frozenset({'(0.0, 0.7]_fert'})","frozenset({'(-1, 500]_r', '(850, 1000]_l', '(2000, 3000]_y'})",0.5320343461030383,0.3319022457067371,0.3190224570673712,0.5996275605214152,1.8066390579690004,0.14243906280265736,1.6686906700254982
39,"frozenset({'(0.0, 0.7]_fert'})","frozenset({'(850, 1000]_l', '(2000, 3000]_y'})",0.5320343461030383,0.3847424042272127,0.3190224570673712,0.5996275605214152,1.5585169555869915,0.11432628361623526,1.5367131578138917
52,"frozenset({'(-1, 500]_r', '(0.0, 0.7]_fert'})","frozenset({'(850, 1000]_l', '(2000, 3000]_y'})",0.5320343461030383,0.3847424042272127,0.3190224570673712,0.5996275605214152,1.5585169555869915,0.11432628361623526,1.5367131578138917
16,"frozenset({'(0.0, 0.7]_fert'})","frozenset({'(2000, 3000]_y'})",0.5320343461030383,0.464663143989432,0.3190224570673712,0.5996275605214152,1.2904564699778573,0.07180570509677181,1.337097170593837
36,"frozenset({'(850, 1000]_l', '(0.0, 0.7]_fert'})","frozenset({'(2000, 3000]_y'})",0.5320343461030383,0.464663143989432,0.3190224570673712,0.5996275605214152,1.2904564699778573,0.07180570509677181,1.337097170593837
42,"frozenset({'(-1, 500]_r', '(0.0, 0.7]_fert'})","frozenset({'(2000, 3000]_y'})",0.5320343461030383,0.464663143989432,0.3190224570673712,0.5996275605214152,1.2904564699778573,0.07180570509677181,1.337097170593837
48,"frozenset({'(-1, 500]_r', '(850, 1000]_l', '(0.0, 0.7]_fert'})","frozenset({'(2000, 3000]_y'})",0.5320343461030383,0.464663143989432,0.3190224570673712,0.5996275605214152,1.2904564699778573,0.07180570509677181,1.337097170593837
23,"frozenset({'(850, 1000]_l'})","frozenset({'(-1, 59963]_a', '(-1, 500]_r'})",0.7295244385733157,0.39531043593130777,0.39531043593130777,0.5418741511996378,1.3707559981892259,0.10692181209634777,1.3199202045728666
8,"frozenset({'(850, 1000]_l'})","frozenset({'(2000, 3000]_y'})",0.7295244385733157,0.464663143989432,0.3847424042272127,0.5273879583521955,1.1349898634615836,0.04575928498261056,1.1327194587426674
27,"frozenset({'(-1, 500]_r'})","frozenset({'(850, 1000]_l', '(2000, 3000]_y'})",0.630449141347424,0.3847424042272127,0.3319022457067371,0.5264536406495547,1.368327574151804,0.08934172732174733,1.2992552547901004
12,"frozenset({'(-1, 500]_r'})","frozenset({'(2000, 3000]_y'})",0.630449141347424,0.464663143989432,0.3319022457067371,0.5264536406495547,1.132979121454763,0.03895576556280528,1.1304845775709893
24,"frozenset({'(-1, 500]_r', '(850, 1000]_l'})","frozenset({'(2000, 3000]_y'})",0.630449141347424,0.464663143989432,0.3319022457067371,0.5264536406495547,1.132979121454763,0.03895576556280528,1.1304845775709893
46,"frozenset({'(-1, 500]_r'})","frozenset({'(2000, 3000]_y', '(0.0, 0.7]_fert'})",0.630449141347424,0.3190224570673712,0.3190224570673712,0.5060240963855421,1.5861707700366683,0.11789502293870158,1.378564294229468
