,S_No,State_Name,District_Name,Season,Irrigation,pH,Moisture,Soil_Temp,Climate,Crop_Name,Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours
12,12,Punjab,AMRITSAR,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,11000,600000,0.19,1,1,0.46,1,1,1602.5
25,25,Punjab,AMRITSAR,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,9000,540000,0.19,1,1,0.46,1,1,1602.5
38,38,Punjab,AMRITSAR,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,8000,530000,0.19,1,1,0.46,1,1,1602.5
49,49,Punjab,AMRITSAR,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,11000,700000,0.19,1,1,0.46,1,1,1602.5
60,60,Punjab,AMRITSAR,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,11000,750000,0.19,1,1,0.46,1,1,1602.5
72,72,Punjab,AMRITSAR,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,11000,720000,0.19,1,1,0.46,1,1,1602.5
85,85,Punjab,AMRITSAR,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,10000,570000,0.19,1,1,0.46,1,1,1602.5
97,97,Punjab,AMRITSAR,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,7000,440000,0.19,1,1,0.46,1,1,1602.5
109,109,Punjab,AMRITSAR,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,6000,367000,0.19,1,1,0.46,1,1,1602.5
144,144,Punjab,AMRITSAR,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,300,18000,0.19,1,1,0.46,1,1,1602.5
163,163,Punjab,AMRITSAR,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,3,203000,0.19,1,1,0.46,1,1,1602.5
173,173,Punjab,AMRITSAR,Whole Year ,high,6,60,40,Hot-dry,Sugarcane,2000,141000,0.19,1,1,0.46,1,1,1602.5
