Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours,Rainfall,Yield
11000,600000,0.19,1,1,0.46,1,1,1602.5,649,54545.45455
9000,540000,0.19,1,1,0.46,1,1,1602.5,649,60000
8000,530000,0.19,1,1,0.46,1,1,1602.5,649,66250
11000,700000,0.19,1,1,0.46,1,1,1602.5,649,63636.36364
11000,750000,0.19,1,1,0.46,1,1,1602.5,649,68181.81818
11000,720000,0.19,1,1,0.46,1,1,1602.5,649,65454.54545
10000,570000,0.19,1,1,0.46,1,1,1602.5,649,57000
7000,440000,0.19,1,1,0.46,1,1,1602.5,649,62857.14286
6000,367000,0.19,1,1,0.46,1,1,1602.5,649,61166.66667
300,18000,0.19,1,1,0.46,1,1,1602.5,649,60000
3,203000,0.19,1,1,0.46,1,1,1602.5,649,67666666.67
2000,141000,0.19,1,1,0.46,1,1,1602.5,649,70500
5000,401000,0.19,1,1,0.46,1,1,1602.5,649,80200
4000,301000,0.19,1,1,0.46,1,1,1602.5,649,75250
1000,90000,0.19,1,1,0.46,1,1,1602.5,649,90000
1000,87000,0.19,1,1,0.46,1,1,1602.5,649,87000
1000,70000,0.19,1,1,0.46,1,1,1602.5,649,70000
1000,60000,0.19,1,1,0.46,1,1,1602.5,649,60000
1000,50000,0.19,1,1,0.46,1,1,1602.5,649,50000
2000,130000,0.19,1,1,0.46,1,1,1602.5,649,65000
2000,120000,0.19,1,1,0.46,1,1,1602.5,649,60000
2000,120000,0.19,1,1,0.46,1,1,1602.5,649,60000
2000,130000,0.19,1,1,0.46,1,1,1602.5,649,65000
4000,350000,0.19,1,1,0.46,1,1,1602.5,649,87500
5000,260000,0.19,1,1,0.46,1,1,1602.5,649,52000
3000,170000,0.19,1,1,0.46,1,1,1602.5,649,56666.66667
1000,70000,0.19,1,1,0.46,1,1,1602.5,649,70000
1000,68000,0.19,1,1,0.46,1,1,1602.5,649,68000
6000,380000,0.19,1,1,0.46,1,1,1602.5,649,63333.33333
4000,260000,0.19,1,1,0.46,1,1,1602.5,649,65000
4000,250000,0.19,1,1,0.46,1,1,1602.5,649,62500
4000,290000,0.19,1,1,0.46,1,1,1602.5,649,72500
5000,370000,0.19,1,1,0.46,1,1,1602.5,649,74000
5000,310000,0.19,1,1,0.46,1,1,1602.5,649,62000
4000,250000,0.19,1,1,0.46,1,1,1602.5,649,62500
2000,140000,0.19,1,1,0.46,1,1,1602.5,649,70000
2000,151000,0.19,1,1,0.46,1,1,1602.5,649,75500
200,15000,0.19,1,1,0.46,1,1,1602.5,649,75000
2,151000,0.19,1,1,0.46,1,1,1602.5,649,75500000
3000,258000,0.19,1,1,0.46,1,1,1602.5,649,86000
3000,243000,0.19,1,1,0.46,1,1,1602.5,649,81000
3000,264000,0.19,1,1,0.46,1,1,1602.5,649,88000
1,73000,0.19,1,1,0.46,1,1,1602.5,649,73000000
1000,82000,0.19,1,1,0.46,1,1,1602.5,649,82000
8000,530000,0.19,1,1,0.46,1,1,1602.5,649,66250
7000,460000,0.19,1,1,0.46,1,1,1602.5,649,65714.28571
8000,570000,0.19,1,1,0.46,1,1,1602.5,649,71250
8000,530000,0.19,1,1,0.46,1,1,1602.5,649,66250
9000,520000,0.19,1,1,0.46,1,1,1602.5,649,57777.77778
9000,460000,0.19,1,1,0.46,1,1,1602.5,649,51111.11111
6000,280000,0.19,1,1,0.46,1,1,1602.5,649,46666.66667
2000,140000,0.19,1,1,0.46,1,1,1602.5,649,70000
1000,76000,0.19,1,1,0.46,1,1,1602.5,649,76000
100,6000,0.19,1,1,0.46,1,1,1602.5,649,60000
1000,67000,0.19,1,1,0.46,1,1,1602.5,649,67000
2000,170000,0.19,1,1,0.46,1,1,1602.5,649,85000
2000,150000,0.19,1,1,0.46,1,1,1602.5,649,75000
19000,980000,0.19,1,1,0.46,1,1,1602.5,649,51578.94737
15000,840000,0.19,1,1,0.46,1,1,1602.5,649,56000
16000,1100000,0.19,1,1,0.46,1,1,1602.5,649,68750
18000,1220000,0.19,1,1,0.46,1,1,1602.5,649,67777.77778
23000,1570000,0.19,1,1,0.46,1,1,1602.5,649,68260.86957
25000,1700000,0.19,1,1,0.46,1,1,1602.5,649,68000
