,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({'(5000, 270000]_a'})","frozenset({'(1000, 1300]_l'})",0.5546088303640588,0.9883810999225406,0.5546088303640588,1.0,1.011755485893417,0.006443944582076644,inf
3,"frozenset({'(5000, 270000]_a'})","frozenset({'(400, 500]_r'})",0.5546088303640588,0.9883810999225406,0.5546088303640588,1.0,1.011755485893417,0.006443944582076644,inf
4,"frozenset({'(5000, 270000]_a'})","frozenset({'(0.65, 0.75]_fert'})",0.5546088303640588,0.9883810999225406,0.5546088303640588,1.0,1.011755485893417,0.006443944582076644,inf
6,"frozenset({'(400, 500]_r'})","frozenset({'(1000, 1300]_l'})",0.9883810999225406,0.9883810999225406,0.9883810999225406,1.0,1.011755485893417,0.011483901238449334,inf
7,"frozenset({'(1000, 1300]_l'})","frozenset({'(400, 500]_r'})",0.9883810999225406,0.9883810999225406,0.9883810999225406,1.0,1.011755485893417,0.011483901238449334,inf
8,"frozenset({'(-1, 55000]_y'})","frozenset({'(1000, 1300]_l'})",0.5840433772269559,0.9883810999225406,0.5840433772269559,1.0,1.011755485893417,0.006785941640901849,inf
10,"frozenset({'(55000, 70000]_y'})","frozenset({'(1000, 1300]_l'})",0.38574748257164987,0.9883810999225406,0.38574748257164987,1.0,1.011755485893417,0.004481961455131522,inf
12,"frozenset({'(0.65, 0.75]_fert'})","frozenset({'(1000, 1300]_l'})",0.9883810999225406,0.9883810999225406,0.9883810999225406,1.0,1.011755485893417,0.011483901238449334,inf
13,"frozenset({'(1000, 1300]_l'})","frozenset({'(0.65, 0.75]_fert'})",0.9883810999225406,0.9883810999225406,0.9883810999225406,1.0,1.011755485893417,0.011483901238449334,inf
15,"frozenset({'(-1, 55000]_y'})","frozenset({'(400, 500]_r'})",0.5840433772269559,0.9883810999225406,0.5840433772269559,1.0,1.011755485893417,0.006785941640901849,inf
17,"frozenset({'(55000, 70000]_y'})","frozenset({'(400, 500]_r'})",0.38574748257164987,0.9883810999225406,0.38574748257164987,1.0,1.011755485893417,0.004481961455131522,inf
18,"frozenset({'(400, 500]_r'})","frozenset({'(0.65, 0.75]_fert'})",0.9883810999225406,0.9883810999225406,0.9883810999225406,1.0,1.011755485893417,0.011483901238449334,inf
19,"frozenset({'(0.65, 0.75]_fert'})","frozenset({'(400, 500]_r'})",0.9883810999225406,0.9883810999225406,0.9883810999225406,1.0,1.011755485893417,0.011483901238449334,inf
20,"frozenset({'(-1, 55000]_y'})","frozenset({'(0.65, 0.75]_fert'})",0.5840433772269559,0.9883810999225406,0.5840433772269559,1.0,1.011755485893417,0.006785941640901849,inf
22,"frozenset({'(55000, 70000]_y'})","frozenset({'(0.65, 0.75]_fert'})",0.38574748257164987,0.9883810999225406,0.38574748257164987,1.0,1.011755485893417,0.004481961455131522,inf
24,"frozenset({'(400, 500]_r', '(5000, 270000]_a'})","frozenset({'(1000, 1300]_l'})",0.5546088303640588,0.9883810999225406,0.5546088303640588,1.0,1.011755485893417,0.006443944582076644,inf
26,"frozenset({'(5000, 270000]_a', '(1000, 1300]_l'})","frozenset({'(400, 500]_r'})",0.5546088303640588,0.9883810999225406,0.5546088303640588,1.0,1.011755485893417,0.006443944582076644,inf
28,"frozenset({'(5000, 270000]_a'})","frozenset({'(400, 500]_r', '(1000, 1300]_l'})",0.5546088303640588,0.9883810999225406,0.5546088303640588,1.0,1.011755485893417,0.006443944582076644,inf
30,"frozenset({'(5000, 270000]_a', '(0.65, 0.75]_fert'})","frozenset({'(1000, 1300]_l'})",0.5546088303640588,0.9883810999225406,0.5546088303640588,1.0,1.011755485893417,0.006443944582076644,inf
31,"frozenset({'(5000, 270000]_a', '(1000, 1300]_l'})","frozenset({'(0.65, 0.75]_fert'})",0.5546088303640588,0.9883810999225406,0.5546088303640588,1.0,1.011755485893417,0.006443944582076644,inf
33,"frozenset({'(5000, 270000]_a'})","frozenset({'(0.65, 0.75]_fert', '(1000, 1300]_l'})",0.5546088303640588,0.9883810999225406,0.5546088303640588,1.0,1.011755485893417,0.006443944582076644,inf
36,"frozenset({'(400, 500]_r', '(5000, 270000]_a'})","frozenset({'(0.65, 0.75]_fert'})",0.5546088303640588,0.9883810999225406,0.5546088303640588,1.0,1.011755485893417,0.006443944582076644,inf
38,"frozenset({'(5000, 270000]_a', '(0.65, 0.75]_fert'})","frozenset({'(400, 500]_r'})",0.5546088303640588,0.9883810999225406,0.5546088303640588,1.0,1.011755485893417,0.006443944582076644,inf
