,S_No,State_Name,District_Name,Season,Irrigation,pH,Moisture,Soil_Temp,Climate,Crop_Name,Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours
9,9,Punjab,AMRITSAR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,349000,1318000,0.19,1,1,0.46,1,1,183.6
24,24,Punjab,AMRITSAR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,214000,862000,0.19,1,1,0.46,1,1,183.6
37,37,Punjab,AMRITSAR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,358000,1738000,0.19,1,1,0.46,1,1,183.6
48,48,Punjab,AMRITSAR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,361000,1690000,0.19,1,1,0.46,1,1,183.6
59,59,Punjab,AMRITSAR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,363000,1700000,0.19,1,1,0.46,1,1,183.6
71,71,Punjab,AMRITSAR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,356000,1513000,0.19,1,1,0.46,1,1,183.6
84,84,Punjab,AMRITSAR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,358000,1538000,0.19,1,1,0.46,1,1,183.6
96,96,Punjab,AMRITSAR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,372000,1591000,0.19,1,1,0.46,1,1,183.6
108,108,Punjab,AMRITSAR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,371000,1643000,0.19,1,1,0.46,1,1,183.6
118,118,Punjab,AMRITSAR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,185000,767000,0.19,1,1,0.46,1,1,183.6
126,126,Punjab,AMRITSAR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,184000,810000,0.19,1,1,0.46,1,1,183.6
136,136,Punjab,AMRITSAR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,187000,757000,0.19,1,1,0.46,1,1,183.6
143,143,Punjab,AMRITSAR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,185000,753000,0.19,1,1,0.46,1,1,183.6
153,153,Punjab,AMRITSAR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,189000,810000,0.19,1,1,0.46,1,1,183.6
162,162,Punjab,AMRITSAR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,190000,945000,0.19,1,1,0.46,1,1,183.6
171,171,Punjab,AMRITSAR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,190000,884000,0.19,1,1,0.46,1,1,183.6
182,182,Punjab,AMRITSAR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,188000,934000,0.19,1,1,0.46,1,1,183.6
192,192,Punjab,AMRITSAR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,188000,736000,0.19,1,1,0.46,1,1,183.6
201,201,Punjab,BARNALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,112000,535000,0.19,1,1,0.46,1,1,183.6
210,210,Punjab,BARNALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,114000,554000,0.19,1,1,0.46,1,1,183.6
218,218,Punjab,BARNALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,114000,520000,0.19,1,1,0.46,1,1,183.6
226,226,Punjab,BARNALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,115000,572000,0.19,1,1,0.46,1,1,183.6
234,234,Punjab,BARNALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,115000,615000,0.19,1,1,0.46,1,1,183.6
240,240,Punjab,BARNALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,114000,567000,0.19,1,1,0.46,1,1,183.6
249,249,Punjab,BARNALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,114000,596000,0.19,1,1,0.46,1,1,183.6
259,259,Punjab,BARNALA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,114000,527000,0.19,1,1,0.46,1,1,183.6
267,267,Punjab,BATHINDA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,236000,819000,0.19,1,1,0.46,1,1,183.6
278,278,Punjab,BATHINDA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,258000,1144000,0.19,1,1,0.46,1,1,183.6
288,288,Punjab,BATHINDA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,242000,1117000,0.19,1,1,0.46,1,1,183.6
298,298,Punjab,BATHINDA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,243000,1014000,0.19,1,1,0.46,1,1,183.6
308,308,Punjab,BATHINDA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,243000,949000,0.19,1,1,0.46,1,1,183.6
320,320,Punjab,BATHINDA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,239000,999000,0.19,1,1,0.46,1,1,183.6
335,335,Punjab,BATHINDA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,242000,942000,0.19,1,1,0.46,1,1,183.6
348,348,Punjab,BATHINDA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,241000,993000,0.19,1,1,0.46,1,1,183.6
360,360,Punjab,BATHINDA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,243000,954000,0.19,1,1,0.46,1,1,183.6
371,371,Punjab,BATHINDA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,245000,1044000,0.19,1,1,0.46,1,1,183.6
382,382,Punjab,BATHINDA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,247000,1077000,0.19,1,1,0.46,1,1,183.6
391,391,Punjab,BATHINDA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,249000,1152000,0.19,1,1,0.46,1,1,183.6
400,400,Punjab,BATHINDA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,251000,1013000,0.19,1,1,0.46,1,1,183.6
408,408,Punjab,BATHINDA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,253000,1166000,0.19,1,1,0.46,1,1,183.6
417,417,Punjab,BATHINDA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,252000,1260000,0.19,1,1,0.46,1,1,183.6
425,425,Punjab,BATHINDA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,254000,1216000,0.19,1,1,0.46,1,1,183.6
435,435,Punjab,BATHINDA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,254000,1259000,0.19,1,1,0.46,1,1,183.6
444,444,Punjab,BATHINDA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,254000,1218000,0.19,1,1,0.46,1,1,183.6
