Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours,Rainfall,Yield
349000,1318000,0.19,1,1,0.46,1,1,183.6,649,3776.504298
214000,862000,0.19,1,1,0.46,1,1,183.6,649,4028.037383
358000,1738000,0.19,1,1,0.46,1,1,183.6,649,4854.748603
361000,1690000,0.19,1,1,0.46,1,1,183.6,649,4681.440443
363000,1700000,0.19,1,1,0.46,1,1,183.6,649,4683.195592
356000,1513000,0.19,1,1,0.46,1,1,183.6,649,4250
358000,1538000,0.19,1,1,0.46,1,1,183.6,649,4296.089385
372000,1591000,0.19,1,1,0.46,1,1,183.6,649,4276.88172
371000,1643000,0.19,1,1,0.46,1,1,183.6,649,4428.571429
185000,767000,0.19,1,1,0.46,1,1,183.6,649,4145.945946
184000,810000,0.19,1,1,0.46,1,1,183.6,649,4402.173913
187000,757000,0.19,1,1,0.46,1,1,183.6,649,4048.128342
185000,753000,0.19,1,1,0.46,1,1,183.6,649,4070.27027
189000,810000,0.19,1,1,0.46,1,1,183.6,649,4285.714286
190000,945000,0.19,1,1,0.46,1,1,183.6,649,4973.684211
190000,884000,0.19,1,1,0.46,1,1,183.6,649,4652.631579
188000,934000,0.19,1,1,0.46,1,1,183.6,649,4968.085106
188000,736000,0.19,1,1,0.46,1,1,183.6,649,3914.893617
112000,535000,0.19,1,1,0.46,1,1,183.6,649,4776.785714
114000,554000,0.19,1,1,0.46,1,1,183.6,649,4859.649123
114000,520000,0.19,1,1,0.46,1,1,183.6,649,4561.403509
115000,572000,0.19,1,1,0.46,1,1,183.6,649,4973.913043
115000,615000,0.19,1,1,0.46,1,1,183.6,649,5347.826087
114000,567000,0.19,1,1,0.46,1,1,183.6,649,4973.684211
114000,596000,0.19,1,1,0.46,1,1,183.6,649,5228.070175
114000,527000,0.19,1,1,0.46,1,1,183.6,649,4622.807018
236000,819000,0.19,1,1,0.46,1,1,183.6,649,3470.338983
258000,1144000,0.19,1,1,0.46,1,1,183.6,649,4434.108527
242000,1117000,0.19,1,1,0.46,1,1,183.6,649,4615.702479
243000,1014000,0.19,1,1,0.46,1,1,183.6,649,4172.839506
243000,949000,0.19,1,1,0.46,1,1,183.6,649,3905.349794
239000,999000,0.19,1,1,0.46,1,1,183.6,649,4179.916318
242000,942000,0.19,1,1,0.46,1,1,183.6,649,3892.561983
241000,993000,0.19,1,1,0.46,1,1,183.6,649,4120.33195
243000,954000,0.19,1,1,0.46,1,1,183.6,649,3925.925926
245000,1044000,0.19,1,1,0.46,1,1,183.6,649,4261.22449
247000,1077000,0.19,1,1,0.46,1,1,183.6,649,4360.323887
249000,1152000,0.19,1,1,0.46,1,1,183.6,649,4626.506024
251000,1013000,0.19,1,1,0.46,1,1,183.6,649,4035.856574
253000,1166000,0.19,1,1,0.46,1,1,183.6,649,4608.695652
252000,1260000,0.19,1,1,0.46,1,1,183.6,649,5000
254000,1216000,0.19,1,1,0.46,1,1,183.6,649,4787.401575
254000,1259000,0.19,1,1,0.46,1,1,183.6,649,4956.692913
254000,1218000,0.19,1,1,0.46,1,1,183.6,649,4795.275591
109000,451000,0.19,1,1,0.46,1,1,183.6,649,4137.614679
62000,265000,0.19,1,1,0.46,1,1,183.6,649,4274.193548
112000,522000,0.19,1,1,0.46,1,1,183.6,649,4660.714286
111000,524000,0.19,1,1,0.46,1,1,183.6,649,4720.720721
111000,496000,0.19,1,1,0.46,1,1,183.6,649,4468.468468
112000,474000,0.19,1,1,0.46,1,1,183.6,649,4232.142857
114000,461000,0.19,1,1,0.46,1,1,183.6,649,4043.859649
114000,487000,0.19,1,1,0.46,1,1,183.6,649,4271.929825
116000,483000,0.19,1,1,0.46,1,1,183.6,649,4163.793103
117000,484000,0.19,1,1,0.46,1,1,183.6,649,4136.752137
117000,509000,0.19,1,1,0.46,1,1,183.6,649,4350.42735
118000,550000,0.19,1,1,0.46,1,1,183.6,649,4661.016949
117000,481000,0.19,1,1,0.46,1,1,183.6,649,4111.111111
117000,563000,0.19,1,1,0.46,1,1,183.6,649,4811.965812
117000,616000,0.19,1,1,0.46,1,1,183.6,649,5264.957265
117000,553000,0.19,1,1,0.46,1,1,183.6,649,4726.495726
116000,601000,0.19,1,1,0.46,1,1,183.6,649,5181.034483
116000,558000,0.19,1,1,0.46,1,1,183.6,649,4810.344828
88000,361000,0.19,1,1,0.46,1,1,183.6,649,4102.272727
85000,401000,0.19,1,1,0.46,1,1,183.6,649,4717.647059
86000,443000,0.19,1,1,0.46,1,1,183.6,649,5151.162791
86000,434000,0.19,1,1,0.46,1,1,183.6,649,5046.511628
85000,418000,0.19,1,1,0.46,1,1,183.6,649,4917.647059
85000,379000,0.19,1,1,0.46,1,1,183.6,649,4458.823529
85000,367000,0.19,1,1,0.46,1,1,183.6,649,4317.647059
85000,417000,0.19,1,1,0.46,1,1,183.6,649,4905.882353
84000,369000,0.19,1,1,0.46,1,1,183.6,649,4392.857143
85000,348000,0.19,1,1,0.46,1,1,183.6,649,4094.117647
85000,429000,0.19,1,1,0.46,1,1,183.6,649,5047.058824
85000,376000,0.19,1,1,0.46,1,1,183.6,649,4423.529412
85000,419000,0.19,1,1,0.46,1,1,183.6,649,4929.411765
85000,417000,0.19,1,1,0.46,1,1,183.6,649,4905.882353
85000,449000,0.19,1,1,0.46,1,1,183.6,649,5282.352941
85000,440000,0.19,1,1,0.46,1,1,183.6,649,5176.470588
84000,427000,0.19,1,1,0.46,1,1,183.6,649,5083.333333
84000,340000,0.19,1,1,0.46,1,1,183.6,649,4047.619048
208000,972000,0.19,1,1,0.46,1,1,183.6,649,4673.076923
211000,1039000,0.19,1,1,0.46,1,1,183.6,649,4924.170616
206000,913000,0.19,1,1,0.46,1,1,183.6,649,4432.038835
422000,1677000,0.19,1,1,0.46,1,1,183.6,649,3973.933649
354000,1567000,0.19,1,1,0.46,1,1,183.6,649,4426.553672
374000,1738000,0.19,1,1,0.46,1,1,183.6,649,4647.058824
378000,1705000,0.19,1,1,0.46,1,1,183.6,649,4510.582011
383000,1661000,0.19,1,1,0.46,1,1,183.6,649,4336.814621
369000,1470000,0.19,1,1,0.46,1,1,183.6,649,3983.739837
383000,1586000,0.19,1,1,0.46,1,1,183.6,649,4140.992167
386000,1599000,0.19,1,1,0.46,1,1,183.6,649,4142.487047
386000,1569000,0.19,1,1,0.46,1,1,183.6,649,4064.766839
389000,1587000,0.19,1,1,0.46,1,1,183.6,649,4079.691517
395000,1785000,0.19,1,1,0.46,1,1,183.6,649,4518.987342
395000,1849000,0.19,1,1,0.46,1,1,183.6,649,4681.012658
395000,1636000,0.19,1,1,0.46,1,1,183.6,649,4141.772152
397000,1850000,0.19,1,1,0.46,1,1,183.6,649,4659.949622
394000,1969000,0.19,1,1,0.46,1,1,183.6,649,4997.461929
185000,911000,0.19,1,1,0.46,1,1,183.6,649,4924.324324
189000,1001000,0.19,1,1,0.46,1,1,183.6,649,5296.296296
188000,877000,0.19,1,1,0.46,1,1,183.6,649,4664.893617
194000,729000,0.19,1,1,0.46,1,1,183.6,649,3757.731959
108000,465000,0.19,1,1,0.46,1,1,183.6,649,4305.555556
213000,929000,0.19,1,1,0.46,1,1,183.6,649,4361.502347
217000,924000,0.19,1,1,0.46,1,1,183.6,649,4258.064516
217000,1011000,0.19,1,1,0.46,1,1,183.6,649,4658.986175
206000,784000,0.19,1,1,0.46,1,1,183.6,649,3805.825243
219000,952000,0.19,1,1,0.46,1,1,183.6,649,4347.031963
227000,810000,0.19,1,1,0.46,1,1,183.6,649,3568.281938
227000,904000,0.19,1,1,0.46,1,1,183.6,649,3982.378855
229000,910000,0.19,1,1,0.46,1,1,183.6,649,3973.799127
231000,976000,0.19,1,1,0.46,1,1,183.6,649,4225.108225
231000,927000,0.19,1,1,0.46,1,1,183.6,649,4012.987013
230000,940000,0.19,1,1,0.46,1,1,183.6,649,4086.956522
226000,919000,0.19,1,1,0.46,1,1,183.6,649,4066.371681
231000,1098000,0.19,1,1,0.46,1,1,183.6,649,4753.246753
184000,825000,0.19,1,1,0.46,1,1,183.6,649,4483.695652
184000,822000,0.19,1,1,0.46,1,1,183.6,649,4467.391304
187000,627000,0.19,1,1,0.46,1,1,183.6,649,3352.941176
135000,413000,0.19,1,1,0.46,1,1,183.6,649,3059.259259
140000,488000,0.19,1,1,0.46,1,1,183.6,649,3485.714286
144000,517000,0.19,1,1,0.46,1,1,183.6,649,3590.277778
142000,489000,0.19,1,1,0.46,1,1,183.6,649,3443.661972
139000,502000,0.19,1,1,0.46,1,1,183.6,649,3611.510791
137000,471000,0.19,1,1,0.46,1,1,183.6,649,3437.956204
146000,499000,0.19,1,1,0.46,1,1,183.6,649,3417.808219
145000,493000,0.19,1,1,0.46,1,1,183.6,649,3400
145000,514000,0.19,1,1,0.46,1,1,183.6,649,3544.827586
142000,517000,0.19,1,1,0.46,1,1,183.6,649,3640.84507
145000,552000,0.19,1,1,0.46,1,1,183.6,649,3806.896552
154000,545000,0.19,1,1,0.46,1,1,183.6,649,3538.961039
153000,589000,0.19,1,1,0.46,1,1,183.6,649,3849.673203
154000,661000,0.19,1,1,0.46,1,1,183.6,649,4292.207792
154000,694000,0.19,1,1,0.46,1,1,183.6,649,4506.493506
149000,629000,0.19,1,1,0.46,1,1,183.6,649,4221.47651
148000,671000,0.19,1,1,0.46,1,1,183.6,649,4533.783784
150000,540000,0.19,1,1,0.46,1,1,183.6,649,3600
157000,563000,0.19,1,1,0.46,1,1,183.6,649,3585.987261
162000,748000,0.19,1,1,0.46,1,1,183.6,649,4617.283951
163000,803000,0.19,1,1,0.46,1,1,183.6,649,4926.380368
167000,773000,0.19,1,1,0.46,1,1,183.6,649,4628.742515
167000,785000,0.19,1,1,0.46,1,1,183.6,649,4700.598802
167000,715000,0.19,1,1,0.46,1,1,183.6,649,4281.437126
169000,747000,0.19,1,1,0.46,1,1,183.6,649,4420.118343
171000,734000,0.19,1,1,0.46,1,1,183.6,649,4292.397661
170000,764000,0.19,1,1,0.46,1,1,183.6,649,4494.117647
165000,692000,0.19,1,1,0.46,1,1,183.6,649,4193.939394
167000,741000,0.19,1,1,0.46,1,1,183.6,649,4437.125749
171000,708000,0.19,1,1,0.46,1,1,183.6,649,4140.350877
170000,735000,0.19,1,1,0.46,1,1,183.6,649,4323.529412
169000,793000,0.19,1,1,0.46,1,1,183.6,649,4692.307692
171000,866000,0.19,1,1,0.46,1,1,183.6,649,5064.327485
169000,773000,0.19,1,1,0.46,1,1,183.6,649,4573.964497
169000,837000,0.19,1,1,0.46,1,1,183.6,649,4952.662722
167000,685000,0.19,1,1,0.46,1,1,183.6,649,4101.796407
102000,348000,0.19,1,1,0.46,1,1,183.6,649,3411.764706
238000,990000,0.19,1,1,0.46,1,1,183.6,649,4159.663866
111000,523000,0.19,1,1,0.46,1,1,183.6,649,4711.711712
111000,493000,0.19,1,1,0.46,1,1,183.6,649,4441.441441
114000,538000,0.19,1,1,0.46,1,1,183.6,649,4719.298246
112000,445000,0.19,1,1,0.46,1,1,183.6,649,3973.214286
112000,496000,0.19,1,1,0.46,1,1,183.6,649,4428.571429
115000,460000,0.19,1,1,0.46,1,1,183.6,649,4000
111000,483000,0.19,1,1,0.46,1,1,183.6,649,4351.351351
109000,444000,0.19,1,1,0.46,1,1,183.6,649,4073.394495
111000,506000,0.19,1,1,0.46,1,1,183.6,649,4558.558559
111000,472000,0.19,1,1,0.46,1,1,183.6,649,4252.252252
111000,457000,0.19,1,1,0.46,1,1,183.6,649,4117.117117
108000,480000,0.19,1,1,0.46,1,1,183.6,649,4444.444444
110000,542000,0.19,1,1,0.46,1,1,183.6,649,4927.272727
110000,510000,0.19,1,1,0.46,1,1,183.6,649,4636.363636
111000,548000,0.19,1,1,0.46,1,1,183.6,649,4936.936937
110000,429000,0.19,1,1,0.46,1,1,183.6,649,3900
257000,1082000,0.19,1,1,0.46,1,1,183.6,649,4210.116732
413000,1823000,0.19,1,1,0.46,1,1,183.6,649,4414.043584
259000,1312000,0.19,1,1,0.46,1,1,183.6,649,5065.637066
258000,1334000,0.19,1,1,0.46,1,1,183.6,649,5170.542636
257000,1304000,0.19,1,1,0.46,1,1,183.6,649,5073.929961
254000,1142000,0.19,1,1,0.46,1,1,183.6,649,4496.062992
257000,1220000,0.19,1,1,0.46,1,1,183.6,649,4747.081712
258000,1246000,0.19,1,1,0.46,1,1,183.6,649,4829.457364
257000,1228000,0.19,1,1,0.46,1,1,183.6,649,4778.210117
257000,1158000,0.19,1,1,0.46,1,1,183.6,649,4505.836576
258000,1238000,0.19,1,1,0.46,1,1,183.6,649,4798.449612
259000,1137000,0.19,1,1,0.46,1,1,183.6,649,4389.96139
259000,1200000,0.19,1,1,0.46,1,1,183.6,649,4633.204633
257000,1276000,0.19,1,1,0.46,1,1,183.6,649,4964.980545
257000,1381000,0.19,1,1,0.46,1,1,183.6,649,5373.540856
256000,1242000,0.19,1,1,0.46,1,1,183.6,649,4851.5625
254000,1327000,0.19,1,1,0.46,1,1,183.6,649,5224.409449
253000,1129000,0.19,1,1,0.46,1,1,183.6,649,4462.450593
157000,558000,0.19,1,1,0.46,1,1,183.6,649,3554.140127
159000,687000,0.19,1,1,0.46,1,1,183.6,649,4320.754717
157000,719000,0.19,1,1,0.46,1,1,183.6,649,4579.617834
163000,748000,0.19,1,1,0.46,1,1,183.6,649,4588.957055
165000,667000,0.19,1,1,0.46,1,1,183.6,649,4042.424242
163000,691000,0.19,1,1,0.46,1,1,183.6,649,4239.263804
166000,691000,0.19,1,1,0.46,1,1,183.6,649,4162.650602
167000,707000,0.19,1,1,0.46,1,1,183.6,649,4233.532934
163000,612000,0.19,1,1,0.46,1,1,183.6,649,3754.601227
165000,718000,0.19,1,1,0.46,1,1,183.6,649,4351.515152
169000,727000,0.19,1,1,0.46,1,1,183.6,649,4301.775148
171000,791000,0.19,1,1,0.46,1,1,183.6,649,4625.730994
170000,730000,0.19,1,1,0.46,1,1,183.6,649,4294.117647
170000,830000,0.19,1,1,0.46,1,1,183.6,649,4882.352941
170000,841000,0.19,1,1,0.46,1,1,183.6,649,4947.058824
171000,759000,0.19,1,1,0.46,1,1,183.6,649,4438.596491
