,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
74,"frozenset({'(200, 400]_l', '(400, 500]_r'})","frozenset({'(0.6, 1.0]_fert'})",0.22075379344101811,0.22075379344101811,0.22075379344101811,1.0,4.529933481152994,0.17202155612241843,inf
75,"frozenset({'(0.6, 1.0]_fert'})","frozenset({'(200, 400]_l', '(400, 500]_r'})",0.22075379344101811,0.22075379344101811,0.22075379344101811,1.0,4.529933481152994,0.17202155612241843,inf
14,"frozenset({'(0.6, 1.0]_fert'})","frozenset({'(200, 400]_l'})",0.22075379344101811,0.37591776798825255,0.22075379344101811,1.0,2.66015625,0.13776852013573082,inf
73,"frozenset({'(0.6, 1.0]_fert', '(400, 500]_r'})","frozenset({'(200, 400]_l'})",0.22075379344101811,0.37591776798825255,0.22075379344101811,1.0,2.66015625,0.13776852013573082,inf
22,"frozenset({'(0.5, 0.6]_fert'})","frozenset({'(400, 500]_l'})",0.6240822320117474,0.6240822320117474,0.6240822320117474,1.0,1.6023529411764708,0.23460359969898287,inf
23,"frozenset({'(400, 500]_l'})","frozenset({'(0.5, 0.6]_fert'})",0.6240822320117474,0.6240822320117474,0.6240822320117474,1.0,1.6023529411764708,0.23460359969898287,inf
42,"frozenset({'(0.5, 0.6]_fert', '(85000, 150000]_a'})","frozenset({'(400, 500]_l'})",0.2711698482623593,0.6240822320117474,0.2711698482623593,1.0,1.6023529411764708,0.10193756410449925,inf
44,"frozenset({'(85000, 150000]_a', '(400, 500]_l'})","frozenset({'(0.5, 0.6]_fert'})",0.2711698482623593,0.6240822320117474,0.2711698482623593,1.0,1.6023529411764708,0.10193756410449925,inf
60,"frozenset({'(0.5, 0.6]_fert', '(150000, 450000]_a'})","frozenset({'(400, 500]_l'})",0.20851688693098386,0.6240822320117474,0.20851688693098386,1.0,1.6023529411764708,0.0783852027229543,inf
62,"frozenset({'(150000, 450000]_a', '(400, 500]_l'})","frozenset({'(0.5, 0.6]_fert'})",0.20851688693098386,0.6240822320117474,0.20851688693098386,1.0,1.6023529411764708,0.0783852027229543,inf
91,"frozenset({'(0.5, 0.6]_fert', '(400, 500]_r'})","frozenset({'(400, 500]_l'})",0.6240822320117474,0.6240822320117474,0.6240822320117474,1.0,1.6023529411764708,0.23460359969898287,inf
92,"frozenset({'(400, 500]_l', '(400, 500]_r'})","frozenset({'(0.5, 0.6]_fert'})",0.6240822320117474,0.6240822320117474,0.6240822320117474,1.0,1.6023529411764708,0.23460359969898287,inf
93,"frozenset({'(0.5, 0.6]_fert'})","frozenset({'(400, 500]_l', '(400, 500]_r'})",0.6240822320117474,0.6240822320117474,0.6240822320117474,1.0,1.6023529411764708,0.23460359969898287,inf
94,"frozenset({'(400, 500]_l'})","frozenset({'(0.5, 0.6]_fert', '(400, 500]_r'})",0.6240822320117474,0.6240822320117474,0.6240822320117474,1.0,1.6023529411764708,0.23460359969898287,inf
96,"frozenset({'(0.5, 0.6]_fert', '(-1, 2550]_y'})","frozenset({'(400, 500]_l'})",0.23005384238864415,0.6240822320117474,0.23005384238864415,1.0,1.6023529411764708,0.08648132694786037,inf
98,"frozenset({'(-1, 2550]_y', '(400, 500]_l'})","frozenset({'(0.5, 0.6]_fert'})",0.23005384238864415,0.6240822320117474,0.23005384238864415,1.0,1.6023529411764708,0.08648132694786037,inf
102,"frozenset({'(0.5, 0.6]_fert', '(2550, 3300]_y'})","frozenset({'(400, 500]_l'})",0.2692119432207538,0.6240822320117474,0.2692119432207538,1.0,1.6023529411764708,0.10120155281132598,inf
104,"frozenset({'(2550, 3300]_y', '(400, 500]_l'})","frozenset({'(0.5, 0.6]_fert'})",0.2692119432207538,0.6240822320117474,0.2692119432207538,1.0,1.6023529411764708,0.10120155281132598,inf
